Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR2584863_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 6.438076328545336e-05)	(9, 0.00012876152657090672)	(10, 0.00012876152657090672)	(12, 0.0001931422898563601)	(14, 0.00025752305314181344)	(16, 0.0002897134347845401)	(18, 0.00038628457971272013)	(20, 0.0005794268695690802)	(22, 0.0006759980144972603)	(24, 0.001191044120780887)	(26, 0.002317707478276321)	(28, 0.012586439222306133)	(30, 0.037759317666918396)	(32, 0.09422124706826099)	(34, 0.1769827182717113)	(36, 0.2881039157024038)	(38, 0.432349015843462)	(40, 0.5656171958443506)	(42, 0.7069651616375634)	(44, 0.8675951660347694)	(46, 1.0535268104031588)	(48, 1.2405851181290435)	(50, 1.4109688081639957)	(52, 1.5728542374452683)	(54, 1.74381735434979)	(56, 1.925757391394481)	(58, 2.1132019837000784)	(60, 2.2927599325032078)	(62, 2.4711268371855564)	(64, 2.6506204052254003)	(66, 2.830983113569598)	(68, 3.019296846179549)	(70, 3.200625265973028)	(72, 3.382855016452504)	(74, 3.5644409592991253)	(76, 3.751434886261724)	(78, 3.9395876669634617)	(80, 4.128158922626555)	(82, 4.310453053869316)	(84, 4.490139764199016)	(86, 4.672755799258205)	(88, 4.860200391563803)	(90, 5.04397528036213)	(92, 5.229005594044522)	(94, 5.410494965746215)	(96, 5.592177479737764)	(98, 5.777207793420157)	(100, 5.9653283837402515)	(102, 6.150133364751145)	(104, 6.332395305612264)	(106, 6.508669835487836)	(108, 6.69537404901565)	(110, 6.88343025857246)	(112, 7.069007808742779)	(114, 7.251108797695684)	(116, 7.430795508025384)	(118, 7.608100130113523)	(120, 7.791939399675135)	(122, 7.970692588937196)	(124, 8.14722464186591)	(126, 8.326042211891256)	(128, 8.500803793829618)	(130, 8.677496798666546)	(132, 8.85229057098655)	(134, 9.034262798412886)	(136, 9.204292394249768)	(138, 9.372648090241228)
SRR2584863_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 6.438076328545336e-05)	(18, 6.438076328545336e-05)	(20, 9.657114492818005e-05)	(22, 0.00012876152657090672)	(24, 0.00012876152657090672)	(26, 0.00012876152657090672)	(28, 0.00012876152657090672)	(30, 0.0011588537391381605)	(32, 0.0022533267149908677)	(34, 0.0022533267149908677)	(36, 0.0024142786232045008)	(38, 0.0025752305314181343)	(40, 0.002736182439631768)	(42, 0.0028327535845599477)	(44, 0.003025895874416308)	(46, 0.0030580862560590344)	(48, 0.0032512285459153946)	(50, 0.0036053227439853883)	(52, 0.0037662746521990214)	(54, 0.0039916073236981086)	(56, 0.004377891903410829)	(58, 0.005118270681193542)	(60, 0.006019601367189889)	(62, 0.00775788197589713)	(64, 0.009045497241606196)	(66, 0.010043399072530724)	(68, 0.011009110521812525)	(70, 0.011652918154667059)	(72, 0.012779581512162491)	(74, 0.013713102579801566)	(76, 0.014389100594298826)	(78, 0.015000717845510632)	(80, 0.01561233509672244)	(82, 0.016063000439720615)	(84, 0.01657804654600424)	(86, 0.016835569599146054)	(88, 0.017286234942144228)	(90, 0.017962232956641486)	(92, 0.01937860974892146)	(94, 0.025430401497754076)	(96, 0.038338744536487473)	(98, 0.06834018022750873)	(100, 0.11063834170605161)	(102, 0.16874198057117326)	(104, 0.24210386033494735)	(106, 0.3100255656011006)	(108, 0.380651262925243)	(110, 0.46238264191612605)	(112, 0.5536745642548988)	(114, 0.64647943453088)	(116, 0.728436146193262)	(118, 0.8040835430536697)	(120, 0.8812438878512856)	(122, 0.963168409132025)	(124, 1.04551140537412)	(126, 1.1226717501717356)	(128, 1.2000896180224934)	(130, 1.2734514977862674)	(132, 1.3443025277819087)	(134, 1.4152179385408359)	(136, 1.48220612273935)	(138, 1.5466512667880887)
SRR2584863_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 6.438076328545336e-05)	(9, 0.00012876152657090672)	(10, 0.0001609519082136334)	(12, 0.00022533267149908677)	(14, 0.00025752305314181344)	(16, 0.0002897134347845401)	(18, 0.0003219038164272668)	(20, 0.0004828557246409002)	(22, 0.0005472364879263536)	(24, 0.0010622825942099804)	(26, 0.0021889459517054144)	(28, 0.012522058459020678)	(30, 0.03759836575870476)	(32, 0.09341648752719282)	(34, 0.17540538957121768)	(36, 0.2854321140260575)	(38, 0.4284861700463348)	(40, 0.5603379732549434)	(42, 0.6998832776761634)	(44, 0.8580668130685224)	(46, 1.04197046339342)	(48, 1.2257131618101038)	(50, 1.3942941904730635)	(52, 1.5538619122760595)	(54, 1.72327989086173)	(56, 1.9034816472977139)	(58, 2.088286628308608)	(60, 2.2648830620006066)	(62, 2.439934357373754)	(64, 2.61579041228797)	(66, 2.7937066516273203)	(68, 2.9794451537058535)	(70, 3.1587455794558412)	(72, 3.336307724597121)	(74, 3.5153184369123247)	(76, 3.6972584739570156)	(78, 3.8807758397022)	(80, 4.0657095822396645)	(82, 4.243078585091089)	(84, 4.41935311496666)	(86, 4.597301544687653)	(88, 4.781269575775836)	(90, 4.962276091752889)	(92, 5.143829844217867)	(94, 5.320233135620009)	(96, 5.4973124250366485)	(98, 5.6771278968929195)	(100, 5.859325456990753)	(102, 6.0387224538856685)	(104, 6.215833933683951)	(106, 6.387118954404899)	(108, 6.568833658778091)	(110, 6.750194268953214)	(112, 6.930878881113839)	(114, 7.1067027456464125)	(116, 7.280369854608923)	(118, 7.450077546629378)	(120, 7.627671882152301)	(122, 7.7996972816510315)	(124, 7.970338494739126)	(126, 8.142106371184715)	(128, 8.308755976949111)	(130, 8.477819861336712)	(132, 8.6431818518354)	(134, 8.816012010875198)	(136, 8.979249436185466)	(138, 9.13913906180489)
SRR2584863_2 - polya	(1, 0.00012876152657090672)	(2, 0.00019314228985636007)	(3, 0.00025752305314181344)	(4, 0.00025752305314181344)	(5, 0.00038628457971272013)	(6, 0.00038628457971272013)	(7, 0.00038628457971272013)	(8, 0.00038628457971272013)	(9, 0.00038628457971272013)	(10, 0.00045066534299817353)	(12, 0.0005472364879263536)	(14, 0.0008369499227108936)	(16, 0.001191044120780887)	(18, 0.0013841864106372472)	(20, 0.0017704709903499675)	(22, 0.0021889459517054144)	(24, 0.0028327535845599477)	(26, 0.003283418927558121)	(28, 0.004120368850269015)	(30, 0.004667605338195368)	(32, 0.0051504610628362694)	(34, 0.005697697550762623)	(36, 0.006180553275403523)	(38, 0.006663409000044423)	(40, 0.00708188396139987)	(42, 0.007532549304398043)	(44, 0.008144166555609851)	(46, 0.008659212661893477)	(48, 0.008981116478320745)	(50, 0.00949616258460437)	(52, 0.009818066401031639)	(54, 0.010204350980744358)	(56, 0.010815968231956165)	(58, 0.011395395101525246)	(60, 0.011878250826166146)	(62, 0.012103583497665231)	(64, 0.012586439222306133)	(66, 0.013069294946947033)	(68, 0.013906244869657925)	(70, 0.014389100594298827)	(72, 0.01503290822715336)	(74, 0.015934238913149705)	(76, 0.01667461769093242)	(78, 0.017189663797216048)	(80, 0.018284136773068754)	(82, 0.019346419367278735)	(84, 0.02005460776341872)	(86, 0.020955938449415068)	(88, 0.02150317493734142)	(90, 0.02230793447840959)	(92, 0.02288736134797867)	(94, 0.02404621508711683)	(96, 0.025752305314181344)	(98, 0.034669041029216634)	(100, 0.05436955459456536)	(102, 0.09930732736781181)	(104, 0.16500789630061696)	(106, 0.25298420933018895)	(108, 0.3654252124082333)	(110, 0.47133156801280407)	(112, 0.5817445770473566)	(114, 0.7094760114056959)	(116, 0.8565538651313143)	(118, 1.0021187709197243)	(120, 1.137704658398889)	(122, 1.2670778022210074)	(124, 1.3997987457339698)	(126, 1.5370263426769135)	(128, 1.6822371542672534)	(130, 1.8187887531957)	(132, 1.9508658890758077)	(134, 2.0814944577819925)	(136, 2.213442832135529)	(138, 2.3487068157982667)
SRR2584863_2 - polyg	(1, 0.0007725691594254403)	(2, 0.0008369499227108937)	(3, 0.0011588537391381605)	(4, 0.0012876152657090671)	(5, 0.0014163767922799738)	(6, 0.0014807575555654273)	(7, 0.0018670421352781474)	(8, 0.002639611294703588)	(9, 0.003025895874416308)	(10, 0.0038306554154844746)	(12, 0.0052470322077644484)	(14, 0.006405885946902609)	(16, 0.00775788197589713)	(18, 0.008594831898608022)	(20, 0.009560543347889824)	(22, 0.010333112507315265)	(24, 0.011202252811668884)	(26, 0.013004914183661578)	(28, 0.01455005250251246)	(30, 0.016352713874505154)	(32, 0.018090994483212393)	(34, 0.01976489432863418)	(36, 0.02114908073927143)	(38, 0.023209265164405933)	(40, 0.025205068826254992)	(42, 0.026878968671676776)	(44, 0.028552868517098567)	(46, 0.02996924530937854)	(48, 0.03151438362822942)	(50, 0.03322047385529393)	(52, 0.03460466026593118)	(54, 0.036310750492995696)	(56, 0.03830655415484475)	(58, 0.04036673857997926)	(60, 0.04290977872975467)	(62, 0.045098724681460076)	(64, 0.047319861014808215)	(66, 0.049251283913371816)	(68, 0.05121489719357815)	(70, 0.0536935565800681)	(72, 0.0559790736767017)	(74, 0.058103638865121654)	(76, 0.06000287138204253)	(78, 0.061934294280606136)	(80, 0.06405885946902609)	(82, 0.0663443765656597)	(84, 0.0685333225173651)	(86, 0.07126950495699687)	(88, 0.07387692587005773)	(90, 0.07674186983626041)	(92, 0.07928490998603582)	(94, 0.08195671166238214)	(96, 0.08456413257544299)	(98, 0.08701060158029023)	(100, 0.09068030508756106)	(102, 0.09296582218419465)	(104, 0.09525133928082824)	(106, 0.09798752172046002)	(108, 0.10059494263352087)	(110, 0.10278388858522629)	(112, 0.1048440730103608)	(114, 0.1072583516335653)	(116, 0.10922196491377162)	(118, 0.11256976460461521)	(120, 0.11517718551767606)	(122, 0.11752708337759511)	(124, 0.1209070734500814)	(126, 0.12357887512642773)	(128, 0.12631505756605949)	(130, 0.12943752458540397)	(132, 0.13204494549846485)	(134, 0.13410512992359935)	(136, 0.13619750473037656)	(138, 0.13915901984150741)
SRR2584866_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 3.61219737913407e-05)	(8, 7.22439475826814e-05)	(9, 0.00010836592137402209)	(10, 0.00018060986895670347)	(12, 0.00021673184274804416)	(14, 0.0002889757903307256)	(16, 0.0002889757903307256)	(18, 0.0003250977641220663)	(20, 0.000415402698600418)	(22, 0.0006321345413484622)	(24, 0.0009933542792618692)	(26, 0.0032509776412206625)	(28, 0.023226429147832066)	(30, 0.08073261142364646)	(32, 0.20706921475886053)	(34, 0.3786666512546245)	(36, 0.6204852048007548)	(38, 0.9475877384682405)	(40, 1.2695067688966688)	(42, 1.592906800250542)	(44, 1.973740769932647)	(46, 2.38699421109248)	(48, 2.7968521867159275)	(50, 3.178264107978694)	(52, 3.5467263016372645)	(54, 3.933538457981836)	(56, 4.354901282257826)	(58, 4.769689907303791)	(60, 5.1672483508512865)	(62, 5.5619712194561615)	(64, 5.965670398548186)	(66, 6.391006639941223)	(68, 6.818004492128661)	(70, 7.235718997051724)	(72, 7.636167198502528)	(74, 8.033346361325215)	(76, 8.451024744274488)	(78, 8.8747896798076)	(80, 9.300469079951654)	(82, 9.713830887032861)	(84, 10.11458612526089)	(86, 10.52702682201042)	(88, 10.947992304574704)	(90, 11.366808529698403)	(92, 11.77262084425722)	(94, 12.165537614172528)	(96, 12.567268145692925)	(98, 12.97763182894945)	(100, 13.388158061088037)	(102, 13.78806443293197)	(104, 14.182624752654785)	(106, 14.580652781861566)	(108, 14.987512633660334)	(110, 15.390760288079965)	(112, 15.79220184381003)	(114, 16.19266810624773)	(116, 16.576843358505535)	(118, 16.96428764939145)	(120, 17.361033348528643)	(122, 17.75104229955375)	(124, 18.134115831610917)	(126, 18.509946907922924)	(128, 18.887403473055535)	(130, 19.269303040964488)	(132, 19.64908947340664)	(134, 20.013198969223353)	(136, 20.37201659587964)	(138, 20.737029141041134)
SRR2584866_1 - polya	(1, 0.00010836592137402209)	(2, 0.00018060986895670347)	(3, 0.00025285381653938487)	(4, 0.0002889757903307256)	(5, 0.00039734171170474766)	(6, 0.0005418296068701104)	(7, 0.0005418296068701104)	(8, 0.0006501955282441326)	(9, 0.000830805397200836)	(10, 0.0008849883578878471)	(12, 0.0009572323054705283)	(14, 0.0011378421744272318)	(16, 0.0014087569778622872)	(18, 0.0018964036240453866)	(20, 0.002293745335750134)	(22, 0.002727209021246222)	(24, 0.0033051606019076736)	(26, 0.0037747462611951027)	(28, 0.004623612645291609)	(30, 0.005382174094909764)	(32, 0.005978186662466885)	(34, 0.006664504164502358)	(36, 0.007061845876207106)	(38, 0.007567553509285876)	(40, 0.008217749037530007)	(42, 0.009120798382313526)	(44, 0.00935559121195724)	(46, 0.009825176871244668)	(48, 0.010493433386384473)	(50, 0.011270055822898297)	(52, 0.012173105167681815)	(54, 0.012732995761447595)	(56, 0.01352767918485709)	(58, 0.014521033464118961)	(60, 0.015387960835111136)	(62, 0.015821424520607225)	(64, 0.016471620048851356)	(66, 0.016995388668825797)	(68, 0.01760946222327859)	(70, 0.01824159676462705)	(72, 0.019054341174932217)	(74, 0.02006575644108976)	(76, 0.020806256903812242)	(78, 0.021962160065135142)	(80, 0.02281102644923165)	(82, 0.02340703901678877)	(84, 0.024039173558137235)	(86, 0.025122832771877456)	(88, 0.0258272112608086)	(90, 0.0264954677759484)	(92, 0.027235968238670888)	(94, 0.028283505478619766)	(96, 0.030830104630909287)	(98, 0.04692244395495156)	(100, 0.09305020448649362)	(102, 0.19290940103265497)	(104, 0.3317261463127773)	(106, 0.5237866809613357)	(108, 0.7848221245644593)	(110, 1.0428052613822145)	(112, 1.303027960575033)	(114, 1.605242454300285)	(116, 1.937347881337871)	(118, 2.2658952939570107)	(120, 2.572643095393076)	(122, 2.8693128661413567)	(124, 3.1768372900139354)	(126, 3.509484546658392)	(128, 3.839838057967099)	(130, 4.1532503635676665)	(132, 4.462418337247751)	(134, 4.77140570105888)	(136, 5.094769610438961)	(138, 5.416363543103268)
SRR2584866_1 - polyg	(1, 0.0001444878951653628)	(2, 0.0005057076330787697)	(3, 0.0005779515806614512)	(4, 0.0006863175020354732)	(5, 0.0007224394758268139)	(6, 0.000830805397200836)	(7, 0.0012281471089055837)	(8, 0.00155324487302765)	(9, 0.0018422206633583755)	(10, 0.0024562942178111675)	(12, 0.003269038628116333)	(14, 0.004424941789439235)	(16, 0.005653088898344819)	(18, 0.006646443177606688)	(20, 0.007712041404451239)	(22, 0.008940188513356822)	(24, 0.010547616347071484)	(26, 0.012462080958012541)	(28, 0.014376545568953597)	(30, 0.015767241559920216)	(32, 0.01755527926259158)	(34, 0.01927107301768026)	(36, 0.020914622825186264)	(38, 0.02365989283332816)	(40, 0.025140893758773125)	(42, 0.026766382579383456)	(44, 0.028644725216533173)	(46, 0.03050500686678722)	(48, 0.031986007792232186)	(50, 0.033719862534216535)	(52, 0.0358149370141143)	(54, 0.03780164557263804)	(56, 0.040348244724927554)	(58, 0.04242525821792965)	(60, 0.044935735396427826)	(62, 0.047428151588030334)	(64, 0.04973995791067614)	(66, 0.05228655706296566)	(68, 0.05456224141182012)	(70, 0.05651282799655252)	(72, 0.05936646392606843)	(74, 0.06258131959349775)	(76, 0.065416894536118)	(78, 0.06794543270151185)	(80, 0.07060039777517539)	(82, 0.07320117988815192)	(84, 0.07569359607975443)	(86, 0.07849304904858334)	(88, 0.08100352622708151)	(90, 0.0841100159731368)	(92, 0.08761384743089687)	(94, 0.09091900803280453)	(96, 0.09366427804094643)	(98, 0.09635536508840131)	(100, 0.0992812449654999)	(102, 0.10264058852809459)	(104, 0.10522330965417545)	(106, 0.10851040926918745)	(108, 0.11116537434285098)	(110, 0.1141454371806366)	(112, 0.11730610988737891)	(114, 0.12050290456791256)	(116, 0.12386224813050725)	(118, 0.12725771366689326)	(120, 0.13067124019017495)	(122, 0.1343014985562047)	(124, 0.13782339100086044)	(126, 0.14156201528826418)	(128, 0.14439759023088444)	(130, 0.14820845846587088)	(132, 0.15214575360912702)	(134, 0.1560649877654875)	(136, 0.1595688192232475)	(138, 0.16337968745823397)
SRR2584866_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 3.61219737913407e-05)	(8, 3.61219737913407e-05)	(9, 0.00010836592137402209)	(10, 0.00016254888206103314)	(12, 0.00018060986895670347)	(14, 0.00021673184274804418)	(16, 0.00021673184274804418)	(18, 0.0002709148034350552)	(20, 0.0003431587510177366)	(22, 0.0005598905937657809)	(24, 0.0009933542792618692)	(26, 0.003269038628116333)	(28, 0.02333479506920609)	(30, 0.08140086793878626)	(32, 0.209344899107715)	(34, 0.3836514836378295)	(36, 0.6282333681789973)	(38, 0.9587133063959734)	(40, 1.2838291315049353)	(42, 1.6101911647096985)	(44, 1.9959557838143214)	(46, 2.412965910248454)	(48, 2.8274113765434015)	(50, 3.2130315077528593)	(52, 3.5849614108953984)	(54, 3.9762707529769923)	(56, 4.401841787199674)	(58, 4.82154300068126)	(60, 5.2242849474678135)	(62, 5.624064892403476)	(64, 6.032748903878705)	(66, 6.464027209960418)	(68, 6.896353053282079)	(70, 7.320063805854505)	(72, 7.726002547321592)	(74, 8.129214079767433)	(76, 8.552906771352962)	(78, 8.983859979670553)	(80, 9.415734298319823)	(82, 9.836302439172403)	(84, 10.242548217416715)	(86, 10.662971870374129)	(88, 11.091306235591848)	(90, 11.516082586391118)	(92, 11.930058467026779)	(94, 12.33088594920239)	(96, 12.743380828912606)	(98, 13.162793066603863)	(100, 13.582295609229599)	(102, 13.99421253735915)	(104, 14.400133217839343)	(106, 14.807823875035309)	(108, 15.224400537783946)	(110, 15.640056090200904)	(112, 16.052966372609717)	(114, 16.464630446922733)	(116, 16.861538694941984)	(118, 17.260704566323195)	(120, 17.670562541946644)	(122, 18.07449651386831)	(124, 18.468858162735273)	(126, 18.856446941516356)	(128, 19.248406479126196)	(130, 19.6430209818097)	(132, 20.038664960746253)	(134, 20.41852363713599)	(136, 20.791591382452957)	(138, 21.171341692921324)
SRR2584866_2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 1.806098689567035e-05)	(22, 3.61219737913407e-05)	(24, 7.22439475826814e-05)	(26, 7.22439475826814e-05)	(28, 9.030493447835175e-05)	(30, 0.0007585614496181546)	(32, 0.0013365130302796058)	(34, 0.001408756977862287)	(36, 0.001462939938549298)	(38, 0.00155324487302765)	(40, 0.0016254888206103314)	(42, 0.0017699767157756943)	(44, 0.001878342637149716)	(46, 0.001968647571628068)	(48, 0.0021131354667934307)	(50, 0.0022756843488544636)	(52, 0.0024021112571241563)	(54, 0.002546599152289519)	(56, 0.002817513955724574)	(58, 0.0030884287591596295)	(60, 0.003323221588803344)	(62, 0.0038108682349864433)	(64, 0.004045661064630158)	(66, 0.004244331920482532)	(68, 0.0045333077108132575)	(70, 0.004840344488039654)	(72, 0.005093198304579038)	(74, 0.005508601003179457)	(76, 0.005905942714884203)	(78, 0.006321345413484622)	(80, 0.006646443177606688)	(82, 0.006863175020354733)	(84, 0.007097967849998447)	(86, 0.007368882653433502)	(88, 0.007675919430659898)	(90, 0.008091322129260316)	(92, 0.009626506015392295)	(94, 0.01983096361144604)	(96, 0.048006103168691784)	(98, 0.1109125205263116)	(100, 0.19805678229792104)	(102, 0.3231291165504382)	(104, 0.4880620488816998)	(106, 0.6480282098166521)	(108, 0.8081569196336654)	(110, 0.9981223798023262)	(112, 1.2011820554703478)	(114, 1.4030858279770466)	(116, 1.5836415139730633)	(118, 1.7548957917178094)	(120, 1.9330674274435973)	(122, 2.1242790957080593)	(124, 2.3157436177890607)	(126, 2.496190937863703)	(128, 2.6730621825330028)	(130, 2.8438107526446705)	(132, 3.023860731007608)	(134, 3.1972823271798347)	(136, 3.361637307930435)	(138, 3.512410426535491)
