# This file was produced by samtools stats (1.24+htslib-1.24) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -@ 4 results/bam/SRR2584863.aligned.sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	125b6def	79b68855	060cc7b7
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	2527796	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	2527796
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	1263898
SN	last fragments:	1263898
SN	reads mapped:	2526850
SN	reads mapped and paired:	2525950	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	946
SN	reads properly paired:	2474032	# proper-pair bit set
SN	reads paired:	2527796	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	44759	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	13724
SN	total length:	336578145	# ignores clipping
SN	total first fragment length:	179443430	# ignores clipping
SN	total last fragment length:	157134715	# ignores clipping
SN	bases mapped:	336546847	# ignores clipping
SN	bases mapped (cigar):	336448801	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	153421	# from NM fields
SN	error rate:	4.560010e-04	# mismatches / bases mapped (cigar)
SN	average length:	133
SN	average first fragment length:	142
SN	average last fragment length:	124
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	150
SN	average quality:	35.5
SN	insert size average:	728.8
SN	insert size standard deviation:	816.9
SN	inward oriented pairs:	1237010
SN	outward oriented pairs:	6552
SN	pairs with other orientation:	19413
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	97.9
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	55	0	0	0	0	0	0	0	365	0	0	0	0	0	1412	0	0	17	0	0	45	645	0	2943	1805	3068	7468	0	25658	276660	0	148078	795679	0	0	0	0	0	0	0	0
FFQ	2	0	0	23	0	0	0	0	0	0	0	173	0	0	0	0	0	602	0	0	70	0	0	150	473	0	1221	1584	3778	3862	0	19901	234491	0	108927	888643	0	0	0	0	0	0	0	0
FFQ	3	0	0	2	0	0	0	0	0	0	0	78	0	0	0	0	0	269	0	0	9	0	0	140	293	0	577	1275	3413	2333	0	15624	215698	0	90087	934100	0	0	0	0	0	0	0	0
FFQ	4	0	0	3	0	0	0	0	0	0	0	74	0	0	0	0	0	127	0	0	88	0	0	115	0	0	277	509	64	838	5	2019	124	3689	7153	0	132644	0	1116169	0	0	0	0	0
FFQ	5	0	0	9	0	0	0	0	0	0	0	168	0	0	0	0	0	267	0	0	142	0	0	221	0	0	483	887	92	1378	7	3180	195	5310	9350	0	129688	0	1112521	0	0	0	0	0
FFQ	6	0	0	61	0	0	0	0	0	64	0	239	89	0	0	0	18	79	134	108	153	0	36	22	316	0	567	812	220	598	725	2997	767	6420	7598	0	107738	14056	1120081	0	0	0	0	0
FFQ	7	0	0	1	0	0	0	0	0	36	0	112	47	0	0	0	23	79	240	123	139	0	59	32	323	0	703	924	291	785	826	3420	781	7377	8494	0	112529	15145	1111409	0	0	0	0	0
FFQ	8	0	0	5	0	0	0	0	0	43	0	180	62	0	0	0	26	76	148	104	139	0	59	25	368	0	703	999	363	648	849	3595	743	7476	8478	0	113605	14727	1110477	0	0	0	0	0
FFQ	9	0	0	0	0	0	0	0	0	35	0	138	46	0	0	0	22	94	170	130	130	0	53	26	361	0	760	350	1184	620	938	3790	696	6666	7284	3118	32451	35	77438	96252	1031111	0	0	0
FFQ	10	0	0	0	0	0	0	0	0	46	0	135	52	0	0	0	36	104	142	113	115	0	65	35	370	2	810	382	1354	504	840	3763	804	7019	6979	3753	32853	31	80737	94866	1027988	0	0	0
FFQ	11	0	0	0	0	0	0	0	0	57	0	133	37	0	0	0	38	125	174	129	105	1	82	38	396	5	822	376	1443	314	817	3686	926	6999	6654	3358	33124	24	80616	101923	1021496	0	0	0
FFQ	12	0	0	0	0	0	0	1	1	125	0	272	76	0	0	0	59	191	167	189	140	5	136	50	523	7	942	432	1834	237	917	4178	977	7600	7120	3579	34520	21	82885	101945	1014769	0	0	0
FFQ	13	0	0	0	0	0	0	1	1	57	1	147	32	0	0	0	79	155	170	120	118	5	129	58	501	14	938	436	1757	217	974	4438	1061	8029	7150	3762	35351	23	84397	104634	1009143	0	0	0
FFQ	14	0	0	0	0	0	0	2	2	83	3	160	39	1	0	4	19	200	165	136	128	4	148	53	284	204	1014	433	1769	225	1028	1693	3368	4141	8194	4410	6115	20105	18414	78193	61051	262037	790073	0
FFQ	15	0	0	0	0	0	0	2	5	75	3	122	39	0	0	0	25	189	146	106	124	4	135	46	313	250	944	436	1736	205	1047	1754	3351	4052	8314	4204	6091	19532	17775	77536	58969	264138	792230	0
FFQ	16	0	0	0	0	0	0	1	2	100	4	142	26	1	0	1	26	265	141	141	131	5	181	50	336	288	1036	444	1890	224	1075	1900	3566	4093	8393	4381	6685	20058	18137	79264	59283	264905	786723	0
FFQ	17	0	0	0	0	0	1	6	4	86	13	140	36	0	2	1	60	261	146	138	135	12	187	52	388	272	1108	514	1840	201	1006	1976	3676	4254	8799	4705	6850	20426	18833	80830	60514	265894	780532	0
FFQ	18	0	0	0	0	0	0	5	5	113	17	148	34	4	4	5	62	258	143	164	167	12	207	57	360	381	1126	512	1936	250	1180	2368	3834	4429	9348	4846	7311	21072	19601	83834	61392	267385	771328	0
FFQ	19	0	0	0	0	0	0	6	3	159	34	220	47	5	2	12	73	254	42	369	174	18	243	71	385	424	1076	614	1939	291	1204	2463	3841	4343	5990	8231	7713	19891	19536	76254	68559	270643	768769	0
FFQ	20	0	0	0	0	0	1	3	7	118	31	148	30	8	3	13	93	248	58	317	163	19	248	93	448	553	1146	670	1945	305	1273	2689	4043	4454	6399	8715	8493	20234	20290	77809	70213	273637	758981	0
FFQ	21	0	0	0	0	0	0	10	13	132	57	140	29	6	6	10	109	217	68	293	194	32	253	99	461	555	1140	694	1998	335	1208	2928	4240	4479	6496	8929	8922	20584	21020	79788	72131	275215	751107	0
FFQ	22	0	0	0	0	0	0	8	10	187	71	153	31	13	5	21	150	257	43	298	241	33	302	117	504	683	1255	788	2040	363	1313	3166	4330	4547	6671	8994	9519	21033	21492	81940	73586	277398	742336	0
FFQ	23	0	0	0	0	0	1	20	21	170	77	129	26	8	13	29	165	273	79	315	229	37	356	126	522	750	1230	904	2120	406	1438	3419	4495	4542	7237	9419	10534	21447	22217	85358	74343	280521	730922	0
FFQ	24	0	0	0	0	0	3	33	34	227	81	137	17	26	25	38	183	282	69	281	251	58	409	144	588	830	1286	863	2049	441	1493	3702	4624	4628	7599	9472	11243	21565	22715	88151	73139	278194	729018	0
FFQ	25	0	0	0	0	0	1	47	51	237	111	112	15	30	22	35	236	292	65	288	295	81	514	200	663	895	1370	1011	2155	520	1531	4073	5019	4734	8142	9758	12405	22211	23616	92384	74184	283596	712999	0
FFQ	26	0	0	0	0	0	3	62	52	288	190	131	18	29	26	54	275	285	84	316	277	102	593	245	686	965	1346	1066	2120	628	1661	4375	5361	4765	8507	9959	13594	22711	24612	95155	75050	288845	698818	0
FFQ	27	0	0	0	0	0	1	57	62	291	179	129	13	37	32	59	310	282	89	303	298	134	634	256	669	1040	1403	1153	2224	665	1713	4680	5486	4859	9128	9986	14597	23021	25617	97669	75488	294405	685658	0
FFQ	28	0	0	0	0	0	2	76	52	328	234	98	11	45	30	56	312	285	92	330	316	138	736	257	667	1110	1484	1286	2080	775	1816	4849	5766	4955	9545	10160	16208	23289	26402	100280	76175	297970	673640	0
FFQ	29	0	0	0	0	0	1	63	67	300	226	67	12	49	35	85	310	251	87	317	334	157	703	304	703	1182	1409	1385	2107	848	1896	4998	5836	5133	10005	10390	16920	23813	27451	101603	76261	301467	664183	0
FFQ	30	0	0	0	0	0	2	75	74	298	210	61	10	62	45	81	328	269	70	317	373	149	700	323	842	1195	1432	1471	2097	926	2038	5025	6263	5280	10596	10258	18435	23915	28415	103961	76912	303683	654076	0
FFQ	31	0	0	0	0	0	2	132	126	442	330	67	17	55	44	139	413	280	92	404	434	197	851	383	904	1299	1382	1590	2209	1081	2155	5297	6469	5463	11442	10832	20215	24851	29943	107470	77655	304791	640006	0
FFQ	32	0	0	0	0	0	2	85	63	247	197	33	12	61	45	88	316	224	75	289	322	198	635	364	764	1097	1223	1394	1934	1043	1856	4819	5801	4780	10679	9714	20913	22100	30468	98171	88216	307253	643446	0
