generation	consequence	count
5000	upstream_gene_variant	43
5000	downstream_gene_variant	31
5000	missense_variant	6
5000	frameshift_variant	2
5000	intergenic_region	1
15000	downstream_gene_variant	126
15000	upstream_gene_variant	98
15000	missense_variant	16
15000	intergenic_region	6
15000	frameshift_variant	3
15000	intragenic_variant	2
15000	disruptive_inframe_insertion	1
50000	downstream_gene_variant	3638
50000	upstream_gene_variant	3590
50000	missense_variant	369
50000	synonymous_variant	212
50000	intergenic_region	122
50000	frameshift_variant	62
50000	intragenic_variant	17
50000	stop_gained	9
50000	conservative_inframe_deletion	2
50000	conservative_inframe_insertion	1
50000	disruptive_inframe_deletion	1
50000	disruptive_inframe_insertion	1
50000	initiator_codon_variant	1
50000	stop_lost&splice_region_variant	1
