generation	gene	annotations
5000	acnA	1
5000	aroB	1
5000	aroK	1
5000	cysB	1
5000	cytR	1
5000	dacA	1
5000	dam	1
5000	damX	1
5000	ECB_01989	1
5000	ECB_01990	1
5000	ECB_01991	1
5000	ECB_01992	1
5000	ECB_01993	1
5000	ECB_01994	1
5000	ECB_01995	1
5000	ECB_01996	1
5000	ftsN	1
5000	glpF	1
5000	glpK	1
5000	gph	1
5000	hofQ	1
5000	holA	1
5000	hslU	1
5000	hslV	1
5000	insJ-5	1
5000	insK-5	1
5000	kup	1
5000	kup-insJ-5	1
5000	lipB	1
5000	lpp	1
5000	malP	1
5000	malQ	1
5000	malT	1
5000	menA	1
5000	menG	1
5000	mrdA	1
5000	mrdB	1
5000	nadD	1
5000	ogrK	1
5000	phpB	1
5000	ppa	1
5000	priA	1
5000	pykF	1
5000	rbsA	1
5000	rbsB	1
5000	rbsC	1
5000	rbsD	1
5000	rlpA	1
5000	rpe	1
5000	rtcA	1
5000	rtcB	1
5000	sohB	1
5000	sufD	1
5000	sufE	1
5000	sufS	1
5000	topA	1
5000	trpS	1
5000	ybeA	1
5000	ybeB	1
5000	ybeD	1
5000	ybeF	1
5000	yciK	1
5000	yciN	1
5000	ydhV	1
5000	ydhW	1
5000	ydhY	1
5000	ydhZ	1
5000	yegQ	1
5000	yegZ	1
5000	yhfX	1
5000	yhfY	1
5000	yhfZ	1
5000	yieM	1
5000	yieN	1
5000	yiiU	1
5000	ynhG	1
5000	ytfM	1
5000	ytfN	1
5000	ytfP	1
5000	ytfQ	1
5000	ytfR	1
5000	ytfT	1
5000	yzfA	1
15000	malT	2
15000	rtcA	2
15000	rtcB	2
15000	accC	1
15000	aceA	1
15000	aceK	1
15000	acnA	1
15000	acpS	1
15000	acrE	1
15000	acrF	1
15000	adk	1
15000	aes	1
15000	araJ	1
15000	aroF	1
15000	aroL	1
15000	aroM	1
15000	chiA	1
15000	clpX	1
15000	crl	1
15000	cysB	1
15000	cytR	1
15000	dacA	1
15000	dnaJ	1
15000	dnaK	1
15000	dsdC	1
15000	dsdX	1
15000	eaeH	1
15000	ECB_01989	1
15000	ECB_01990	1
15000	ECB_01991	1
15000	ECB_01992	1
15000	ECB_01993	1
15000	ECB_01994	1
15000	ECB_01995	1
15000	ECB_01996	1
15000	ECB_02199	1
15000	ECB_02200	1
15000	ECB_02200-nuoN	1
15000	ECB_02797	1
15000	ECB_02798	1
15000	ECB_03279	1
15000	elaC	1
15000	elaD	1
15000	envR	1
15000	fadL	1
15000	ffh	1
15000	fis	1
15000	fkpA	1
15000	flu	1
15000	fsr	1
15000	ftsN	1
15000	fusA	1
15000	glk	1
15000	glpD	1
15000	glpE	1
15000	glpF	1
15000	glpG	1
15000	glpK	1
15000	glpR	1
15000	gpt	1
15000	gsk	1
15000	hdfR	1
15000	hdfR-yifE	1
15000	hemH	1
15000	holA	1
15000	hslU	1
15000	hslV	1
15000	htgA	1
15000	htpG	1
15000	hupB	1
15000	iclR	1
15000	ilvE	1
15000	ilvG	1
15000	ilvL	1
15000	ilvM	1
15000	insA-18	1
15000	insA-19	1
15000	insA-3	1
15000	insA-5	1
15000	insB-18	1
15000	insB-19	1
15000	insB-3	1
15000	insB-5	1
15000	insL-2	1
15000	kefB	1
15000	lipB	1
15000	lon	1
15000	lon-hupB	1
15000	lplA	1
15000	lpp	1
15000	malP	1
15000	malQ	1
15000	menA	1
15000	menG	1
15000	metH	1
15000	mntH	1
15000	mntH-nupC	1
15000	mogA	1
15000	mrdA	1
15000	mrdB	1
15000	nadD	1
15000	nadR	1
15000	nuoL	1
15000	nuoM	1
15000	nuoN	1
15000	nupC	1
15000	ogrK	1
15000	panF	1
15000	pdxJ	1
15000	pepD	1
15000	phoE	1
15000	phpB	1
15000	ppa	1
15000	ppiD	1
15000	prfH	1
15000	priA	1
15000	prmA	1
15000	proA	1
15000	proB	1
15000	proC	1
15000	purL	1
15000	pykF	1
15000	rbsA	1
15000	rbsB	1
15000	rbsC	1
15000	rbsK	1
15000	rbsR	1
15000	rdgC	1
15000	recO	1
15000	rimM	1
15000	rlpA	1
15000	rplS	1
15000	rpsG	1
15000	rpsL	1
15000	rpsP	1
15000	rtcR	1
15000	sbcC	1
15000	serB	1
15000	slt	1
15000	slyD	1
15000	slyX	1
15000	smp	1
15000	sms	1
15000	sohB	1
15000	speC	1
15000	sufD	1
15000	sufE	1
15000	sufS	1
15000	tadA	1
15000	talB	1
15000	thrC	1
15000	topA	1
15000	trmD	1
15000	trpR	1
15000	tufA	1
15000	tyrA	1
15000	ushA	1
15000	vacJ	1
15000	yaaA	1
15000	yaaH	1
15000	yaaI	1
15000	yaaJ	1
15000	yaaW	1
15000	yaaX	1
15000	yafA	1
15000	yagP	1
15000	yagQ	1
15000	yagW	1
15000	yagX	1
15000	yagY	1
15000	yagZ	1
15000	yaiA	1
15000	yaiC	1
15000	yaiE	1
15000	yaiI	1
15000	yajF	1
15000	ybaE	1
15000	ybaK	1
15000	ybaL	1
15000	ybaV	1
15000	ybaW	1
15000	ybaX	1
15000	ybeA	1
15000	ybeB	1
15000	ybeD	1
15000	ybeF	1
15000	yciK	1
15000	yciN	1
15000	ydhV	1
15000	ydhW	1
15000	ydhY	1
15000	ydhZ	1
15000	yeeP-flu	1
15000	yeeR	1
15000	yegQ	1
15000	yegZ	1
15000	yfbM	1
15000	yfcX	1
15000	yfcY	1
15000	yfcZ	1
15000	yfdC	1
15000	yfdF	1
15000	yfeA	1
15000	yfeC	1
15000	yfeD	1
15000	yfeO	1
15000	yfhB	1
15000	yfhD	1
15000	yfhH	1
15000	yfhL	1
15000	yfiB	1
15000	yfiL	1
15000	yfiN	1
15000	yfiR	1
15000	yfjD	1
15000	yhdG	1
15000	yhdJ	1
15000	yhdT	1
15000	yhdU	1
15000	yheL	1
15000	yheM	1
15000	yheN	1
15000	yheO	1
15000	yieO	1
15000	yieP	1
15000	yifB	1
15000	yifE	1
15000	yiiU	1
15000	yjbB	1
15000	yjjK	1
15000	yjjX	1
15000	ykgK	1
15000	ykgK-ykgL	1
15000	ykgL	1
15000	ykgM	1
15000	ykiA	1
15000	ynhG	1
15000	ypdG	1
15000	ypdH	1
15000	ypeC	1
15000	ypjD	1
15000	yqgA	1
15000	ytfM	1
15000	ytfN	1
15000	ytfP	1
15000	ytfQ	1
15000	ytfR	1
15000	ytfT	1
15000	yzfA	1
50000	nikD	13
50000	nikE	13
50000	nikR	13
50000	rhsB	13
50000	yhhH	13
50000	yhhI	10
50000	deoA	8
50000	nikA	8
50000	nikB	8
50000	ycdW	8
50000	ygcS	8
50000	citD	7
50000	citE	7
50000	citF	7
50000	csgA	7
50000	csgB	7
50000	csgC	7
50000	csgD	7
50000	csgG	7
50000	deoC	7
50000	dinG	7
50000	eutH	7
50000	flgJ	7
50000	flgK	7
50000	holB	7
50000	insE-1	7
50000	insF-1	7
50000	kdpB	7
50000	nikC	7
50000	osmY	7
50000	prfC	7
50000	pstC	7
50000	pstS	7
50000	tmk	7
50000	ycdX	7
50000	ycdY	7
50000	ycdZ	7
50000	yeiB	7
50000	yeiG	7
50000	yghO	7
50000	yhhJ	7
50000	yhiH	7
50000	yjjI	7
50000	yjjU	7
50000	yjjV	7
50000	yjjW	7
50000	ymdA	7
50000	ytjA	7
50000	aroF	6
50000	aroG	6
50000	asnA	6
50000	asnC	6
50000	atpD	6
50000	bglF	6
50000	bglG	6
50000	cirA	6
50000	citA	6
50000	citC	6
50000	csgE	6
50000	csgF	6
50000	eamA	6
50000	eutG	6
50000	fabF	6
50000	flgE	6
50000	flgF	6
50000	flgG	6
50000	flgH	6
50000	flgI	6
50000	folE	6
50000	galK	6
50000	galM	6
50000	galS	6
50000	glcB	6
50000	glcC	6
50000	glcD	6
50000	glcG	6
50000	glmS	6
