run_accession	study_accession	sample_accession	experiment_accession	scientific_name	sample_title	library_strategy	library_layout	instrument_platform	fastq_ftp	fastq_bytes
SRR7108393	PRJNA454881	SAMN09059685	SRX4036309	Homo sapiens	HT55_ITRA_2	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7108393/SRR7108393.fastq.gz	468191079
SRR7108394	PRJNA454881	SAMN09059684	SRX4036310	Homo sapiens	HT55_ITRA_3	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7108394/SRR7108394.fastq.gz	513588845
SRR7108400	PRJNA454881	SAMN09059725	SRX4036316	Homo sapiens	SW948_ITRA_1	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7108400/SRR7108400.fastq.gz	494381339
SRR7108402	PRJNA454881	SAMN09059723	SRX4036318	Homo sapiens	SW948_ITRA_3	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7108402/SRR7108402.fastq.gz	436490157
SRR7108389	PRJNA454881	SAMN09059689	SRX4036305	Homo sapiens	HT55_CONT_2	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7108389/SRR7108389.fastq.gz	443980065
SRR7108390	PRJNA454881	SAMN09059688	SRX4036306	Homo sapiens	HT55_CONT_3	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7108390/SRR7108390.fastq.gz	434246920
SRR7108396	PRJNA454881	SAMN09059682	SRX4036312	Homo sapiens	SW948_CONT_1	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7108396/SRR7108396.fastq.gz	501397580
SRR7108397	PRJNA454881	SAMN09059681	SRX4036313	Homo sapiens	SW948_CONT_2	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7108397/SRR7108397.fastq.gz	424581660
SRR7108403	PRJNA454881	SAMN09059722	SRX4036319	Homo sapiens	SW948_ITRA_4	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7108403/SRR7108403.fastq.gz	461217109
SRR7108388	PRJNA454881	SAMN09059690	SRX4036304	Homo sapiens	HT55_CONT_1	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7108388/SRR7108388.fastq.gz	429658578
SRR7108391	PRJNA454881	SAMN09059687	SRX4036307	Homo sapiens	HT55_CONT_4	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7108391/SRR7108391.fastq.gz	401096896
SRR7108392	PRJNA454881	SAMN09059686	SRX4036308	Homo sapiens	HT55_ITRA_1	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7108392/SRR7108392.fastq.gz	444249316
SRR7108395	PRJNA454881	SAMN09059683	SRX4036311	Homo sapiens	HT55_ITRA_4	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7108395/SRR7108395.fastq.gz	422275005
SRR7108398	PRJNA454881	SAMN09059680	SRX4036314	Homo sapiens	SW948_CONT_3	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7108398/SRR7108398.fastq.gz	459535904
SRR7108399	PRJNA454881	SAMN09059679	SRX4036315	Homo sapiens	SW948_CONT_4	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7108399/SRR7108399.fastq.gz	522447020
SRR7108401	PRJNA454881	SAMN09059724	SRX4036317	Homo sapiens	SW948_ITRA_2	RNA-Seq	SINGLE	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7108401/SRR7108401.fastq.gz	417618732
