sample	total_reads	assigned_reads	assigned_percent
SRR7108388	15646461	8643989	55.2456
SRR7108389	16334440	9035345	55.3147
SRR7108390	16103964	8801889	54.6567
SRR7108391	14919156	7912692	53.0371
SRR7108392	16892006	8910620	52.7505
SRR7108393	18158616	9279384	51.1018
SRR7108394	19139060	10377437	54.2212
SRR7108395	15739455	8503479	54.0265
SRR7108396	18081205	10150638	56.1392
SRR7108397	15316928	8607378	56.1952
SRR7108398	16722841	9317613	55.7179
SRR7108399	19296974	10578149	54.8177
SRR7108400	18448116	9835262	53.3131
SRR7108401	15633495	8293331	53.0485
SRR7108402	17044547	8527354	50.0298
SRR7108403	17831460	9078821	50.9146
