"gene_id","ensembl_gene_id","gene_symbol","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","status"
"ENSG00000162344.6","ENSG00000162344","FGF19","protein_coding",107.949502929142,-2.91878447567235,0.179483537069799,-16.2621292366066,1.83257154560865e-59,3.79394669128008e-56,"Downregulated"
"ENSG00000078814.21","ENSG00000078814","MYH7B","protein_coding",150.349456442348,-2.469987440255,0.15989970568146,-15.4471043566242,7.89095954352359e-54,7.62371904698293e-51,"Downregulated"
"ENSG00000144354.17","ENSG00000144354","CDCA7","protein_coding",515.671840674109,-1.8954411938444,0.125618470427626,-15.0888733750061,1.91687429832175e-51,1.32282582529899e-48,"Downregulated"
"ENSG00000214039.11","ENSG00000214039","LINC02418","lncRNA",201.213160343503,-2.10322768177799,0.144079784306882,-14.5976598444806,2.90651979583905e-48,1.27640257216059e-45,"Downregulated"
"ENSG00000131711.16","ENSG00000131711","MAP1B","protein_coding",214.339237548561,-2.31870994226571,0.159191720441641,-14.5655184568204,4.65439954699575e-48,1.98386935985478e-45,"Downregulated"
"ENSG00000167703.17","ENSG00000167703","SLC43A2","protein_coding",283.109405488365,-1.64156645139156,0.113335556365276,-14.4841257592706,1.52652525205362e-47,6.32068684364602e-45,"Downregulated"
"ENSG00000101188.6","ENSG00000101188","NTSR1","protein_coding",54.0863827139123,-2.84666504186853,0.197533008970388,-14.411085300155,4.40729907986331e-47,1.59676445663448e-44,"Downregulated"
"ENSG00000198830.15","ENSG00000198830","HMGN2","protein_coding",634.490818518037,-1.4570878401068,0.103897566373146,-14.0242730505708,1.10741059290963e-44,3.4888248505318e-42,"Downregulated"
"ENSG00000198860.16","ENSG00000198860","TSEN15","protein_coding",582.055096667541,-1.2423830529259,0.0938101904592717,-13.2435830994852,4.91469718876318e-40,1.16760314195994e-37,"Downregulated"
"ENSG00000102317.20","ENSG00000102317","RBM3","protein_coding",554.014980794727,-1.43554364216086,0.10991037937046,-13.0610380055397,5.49730691493574e-39,1.22564572017306e-36,"Downregulated"
"ENSG00000110400.12","ENSG00000110400","NECTIN1","protein_coding",584.26707154856,-1.3111347628692,0.102560059102494,-12.7840679338816,2.01261136872948e-37,4.10799492332784e-35,"Downregulated"
"ENSG00000176771.19","ENSG00000176771","NCKAP5","protein_coding",202.391427326555,-1.15350097388768,0.0931941378739077,-12.377398409419,3.46389934332998e-35,5.9760511051831e-33,"Downregulated"
"ENSG00000187498.19","ENSG00000187498","COL4A1","protein_coding",123.192992380765,-1.7773103753148,0.144340956296621,-12.3132783716801,7.68373954940094e-35,1.27991670747033e-32,"Downregulated"
"ENSG00000164649.22","ENSG00000164649","CDCA7L","protein_coding",365.640683238254,-1.15637380117478,0.0951685029980905,-12.1508037296539,5.6804402861594e-34,8.85171404591635e-32,"Downregulated"
"ENSG00000112759.21","ENSG00000112759","SLC29A1","protein_coding",1094.86365083351,-1.09002853483277,0.0901443695324669,-12.0920312659148,1.16373425138296e-33,1.77524597589915e-31,"Downregulated"
"ENSG00000096060.17","ENSG00000096060","FKBP5","protein_coding",321.28217522748,-1.13923773921595,0.0948295247008186,-12.0135342111034,3.01671362019855e-33,4.50703234885747e-31,"Downregulated"
"ENSG00000099622.16","ENSG00000099622","CIRBP","protein_coding",649.001114564199,-1.10716323702322,0.0959903577729483,-11.5341088699977,8.88019647969305e-31,1.02953445906969e-28,"Downregulated"
"ENSG00000241186.12","ENSG00000241186","CRIPTO","protein_coding",484.652539589269,-1.63159605481092,0.141643445425474,-11.5190367610014,1.0578694866436e-30,1.20218493679928e-28,"Downregulated"
"ENSG00000106028.13","ENSG00000106028","SSBP1","protein_coding",549.464221526951,-1.05443868775934,0.0938397251751241,-11.2365918143041,2.69590479420056e-29,2.71312863038573e-27,"Downregulated"
"ENSG00000153132.15","ENSG00000153132","CLGN","protein_coding",71.1114063798095,-2.78553086498797,0.24819408301977,-11.2231961016012,3.1372322596468e-29,3.13550137288286e-27,"Downregulated"
"ENSG00000261824.9","ENSG00000261824","LINC00662","lncRNA",335.946719448129,-1.16800683579947,0.104755174838772,-11.1498724296641,7.17091018235834e-29,6.88217419620775e-27,"Downregulated"
"ENSG00000102710.23","ENSG00000102710","SUPT20H","protein_coding",487.405646024903,-1.10935872570846,0.0998193946299338,-11.1136591222702,1.07655723154915e-28,1.00654628384582e-26,"Downregulated"
"ENSG00000163808.19","ENSG00000163808","KIF15","protein_coding",208.24828348449,-1.09827009150124,0.0990248412659839,-11.0908543498823,1.38954263491593e-28,1.2664938280001e-26,"Downregulated"
"ENSG00000115425.16","ENSG00000115425","PECR","protein_coding",295.34945864863,-1.63322422342614,0.150175188103722,-10.8754598149604,1.50893039840358e-27,1.25674823756693e-25,"Downregulated"
"ENSG00000170961.8","ENSG00000170961","HAS2","protein_coding",79.5235376209798,-2.12970528226323,0.196887516720867,-10.8168629364277,2.86413572903423e-27,2.31882988743934e-25,"Downregulated"
"ENSG00000163328.16","ENSG00000163328","GPR155","protein_coding",155.501493184079,-1.54747313178211,0.144239674749167,-10.7284846175171,7.48129392469166e-27,5.73645034691172e-25,"Downregulated"
"ENSG00000106541.14","ENSG00000106541","AGR2","protein_coding",1291.7001126553,-1.69877764481752,0.162025134805793,-10.4846550311697,1.01615809277631e-25,7.21870739240897e-24,"Downregulated"
"ENSG00000135046.17","ENSG00000135046","ANXA1","protein_coding",3076.78950555687,-1.4373208370208,0.137184981004863,-10.4772463172907,1.09897052894441e-25,7.73120432303996e-24,"Downregulated"
"ENSG00000078081.10","ENSG00000078081","LAMP3","protein_coding",649.769884236458,-1.96111286460961,0.188778207937049,-10.3884494192443,2.79865810857673e-25,1.92218736063952e-23,"Downregulated"
"ENSG00000244405.10","ENSG00000244405","ETV5","protein_coding",356.383893561111,-1.25316345196687,0.121915762366968,-10.2789288902188,8.76967586621374e-25,5.69910953601657e-23,"Downregulated"
"ENSG00000055732.15","ENSG00000055732","MCOLN3","protein_coding",95.6276626211968,-2.15207192698564,0.210853147506874,-10.206496570868,1.85439966851567e-24,1.18387488969731e-22,"Downregulated"
"ENSG00000139292.15","ENSG00000139292","LGR5","protein_coding",132.739204692498,-1.7615393025107,0.172702043874399,-10.1998752475206,1.98527341890836e-24,1.25089488638348e-22,"Downregulated"
"ENSG00000198677.15","ENSG00000198677","SKIC3","protein_coding",954.36221392307,-1.0005154749537,0.0985894683839899,-10.1482997256549,3.37186601715304e-24,2.05315471935218e-22,"Downregulated"
"ENSG00000101361.19","ENSG00000101361","NOP56","protein_coding",853.815566927126,-1.10513996471249,0.110360260136566,-10.0139304070589,1.32386105305521e-23,7.70497766300245e-22,"Downregulated"
"ENSG00000075643.8","ENSG00000075643","MOCOS","protein_coding",493.178046369918,-1.0950991168714,0.109959985231638,-9.95906933385359,2.30207553965878e-23,1.29811979458113e-21,"Downregulated"
"ENSG00000115758.16","ENSG00000115758","ODC1","protein_coding",3306.81859517127,-1.11502282028263,0.112369560622314,-9.92281908114191,3.31265209751323e-23,1.83232649607488e-21,"Downregulated"
"ENSG00000101003.13","ENSG00000101003","GINS1","protein_coding",301.592565496538,-1.10120870416758,0.112736802075629,-9.76796116168735,1.54530445295439e-22,7.96959150612633e-21,"Downregulated"
"ENSG00000174951.13","ENSG00000174951","FUT1","protein_coding",203.526916870389,-1.27243851193611,0.132287139703864,-9.61876199594741,6.66282209307208e-22,3.21858725909335e-20,"Downregulated"
"ENSG00000165512.7","ENSG00000165512","ZNF22","protein_coding",75.5432333867857,-1.58926228473483,0.166028554475993,-9.57222262008329,1.04631697006841e-21,4.92312517215303e-20,"Downregulated"
"ENSG00000130675.16","ENSG00000130675","MNX1","protein_coding",128.901339585893,-1.44630025776527,0.151139646471925,-9.56929761003456,1.07634409758585e-21,5.03173505232714e-20,"Downregulated"
"ENSG00000187866.10","ENSG00000187866","PABIR1","protein_coding",260.809948834838,-1.02358753731376,0.107062936491228,-9.5606151938269,1.1705878161728e-21,5.43723033076162e-20,"Downregulated"
"ENSG00000196843.20","ENSG00000196843","ARID5A","protein_coding",306.755919428667,-1.52913117641109,0.160122336428945,-9.54976807429767,1.299869580781e-21,5.99927068938796e-20,"Downregulated"
"ENSG00000106701.15","ENSG00000106701","FSD1L","protein_coding",98.4444163965547,-1.76411094926631,0.186754230676025,-9.4461632428913,3.51478319672608e-21,1.53422403876369e-19,"Downregulated"
"ENSG00000107281.12","ENSG00000107281","NPDC1","protein_coding",263.607511332301,-1.12542742027628,0.119159172816336,-9.4447401209384,3.56287334427694e-21,1.55054536051836e-19,"Downregulated"
"ENSG00000085982.18","ENSG00000085982","USP40","protein_coding",433.851164661783,-1.46733759121862,0.156539283167487,-9.37360617429598,7.0095757915761e-21,2.96159686214346e-19,"Downregulated"
"ENSG00000182580.5","ENSG00000182580","EPHB3","protein_coding",388.816134243131,-1.1544242472052,0.123709055160628,-9.33176836332845,1.04119024626519e-20,4.25040254897892e-19,"Downregulated"
"ENSG00000169136.15","ENSG00000169136","ATF5","protein_coding",156.044287751976,-1.0364625972484,0.111563778140749,-9.29031460319315,1.53832949020369e-20,6.22722652850053e-19,"Downregulated"
"ENSG00000116990.13","ENSG00000116990","MYCL","protein_coding",283.524920383168,-1.10541779017603,0.119330567062323,-9.26349230871171,1.97852699608904e-20,7.92066663738188e-19,"Downregulated"
"ENSG00000183044.14","ENSG00000183044","ABAT","protein_coding",150.927449997119,-1.52563955482749,0.164739862432677,-9.26090098837471,2.02714327249263e-20,8.09293672313034e-19,"Downregulated"
