"gene_id","ensembl_gene_id","gene_symbol","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","status"
"ENSG00000109107.16","ENSG00000109107","ALDOC","protein_coding",1075.08804940407,3.5233742307548,0.170277876381318,20.6919084594678,4.09673283611375e-95,5.93698522609605e-91,"Upregulated"
"ENSG00000104081.16","ENSG00000104081","BMF","protein_coding",204.481824460357,2.52727479184349,0.134677373964089,18.7653999885488,1.44902786551848e-78,1.04996559135469e-74,"Upregulated"
"ENSG00000151726.18","ENSG00000151726","ACSL1","protein_coding",1210.12537954483,1.69635620394191,0.090542283755855,18.7355137685294,2.54176348673566e-78,1.22784121499244e-74,"Upregulated"
"ENSG00000137819.16","ENSG00000137819","PAQR5","protein_coding",655.095506473035,1.89350749137657,0.109985302567318,17.216004749522,2.01421517753331e-66,7.29750158820318e-63,"Upregulated"
"ENSG00000163817.19","ENSG00000163817","SLC6A20","protein_coding",897.433910145805,2.56893812921429,0.152618694333756,16.8323948807764,1.41270548957121e-63,4.09458559097321e-60,"Upregulated"
"ENSG00000110080.22","ENSG00000110080","ST3GAL4","protein_coding",967.041294816369,1.88167551977601,0.113975925505069,16.5094120660799,3.13926733704313e-61,7.58237704140485e-58,"Upregulated"
"ENSG00000151090.22","ENSG00000151090","THRB","protein_coding",393.596776569517,2.12229249709728,0.131075348372532,16.1913931448457,5.80003873842827e-59,1.05067701746628e-55,"Upregulated"
"ENSG00000180573.11","ENSG00000180573","H2AC6","protein_coding",520.352693818129,1.86976982038159,0.116112598620462,16.1030744518373,2.42737521480426e-58,3.90861351254925e-55,"Upregulated"
"ENSG00000075461.8","ENSG00000075461","CACNG4","protein_coding",461.23620650075,3.44204813226646,0.21457323687587,16.0413674248558,6.56918438941155e-58,9.52006201713522e-55,"Upregulated"
"ENSG00000163131.14","ENSG00000163131","CTSS","protein_coding",250.854213214826,2.00426099586857,0.125229609989287,16.0046892746854,1.18503371582365e-57,1.56122805542875e-54,"Upregulated"
"ENSG00000074416.18","ENSG00000074416","MGLL","protein_coding",1290.09424691004,2.48387214252811,0.155291406472924,15.9949104650629,1.38657506179689e-57,1.67452048296337e-54,"Upregulated"
