"gene_id","ensembl_gene_id","gene_symbol","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","status"
"ENSG00000117395.15","ENSG00000117395","EBNA1BP2","protein_coding",571.523933092974,-2.62760831475597,0.0948930498190966,-27.690208289914,9.16042843333653e-169,1.89647041222733e-165,"Downregulated"
"ENSG00000106541.14","ENSG00000106541","AGR2","protein_coding",1291.7001126553,-3.86646045076193,0.14158820253203,-27.3077868185188,3.42823315841508e-164,4.96819549317513e-161,"Downregulated"
"ENSG00000148730.9","ENSG00000148730","EIF4EBP2","protein_coding",2622.88535609341,-2.54458987627201,0.0983422574805771,-25.8748369364469,1.27872696545176e-147,1.42548547564053e-144,"Downregulated"
"ENSG00000115561.18","ENSG00000115561","CHMP3","protein_coding",1188.72501210008,-2.31413970636315,0.0918681382271121,-25.1897964955189,5.18198969620749e-140,4.41749380455523e-137,"Downregulated"
"ENSG00000078114.21","ENSG00000078114","NEBL","protein_coding",3382.29381229294,-2.46045110759511,0.100152534877422,-24.5670377749948,2.84424539945955e-133,2.28993357383154e-130,"Downregulated"
"ENSG00000136937.15","ENSG00000136937","NCBP1","protein_coding",1160.47709706468,-2.3801292635137,0.0989002894442982,-24.065948410133,5.6839532181697e-128,3.92246904941501e-125,"Downregulated"
"ENSG00000134398.17","ENSG00000134398","ERN2","protein_coding",152.742574731182,-3.7798593854539,0.162007903356551,-23.3313270966484,2.13268575645763e-120,1.18872623009938e-117,"Downregulated"
"ENSG00000138814.19","ENSG00000138814","PPP3CA","protein_coding",278.134718421299,-3.48018274478692,0.14965482953419,-23.2547306065512,1.2740969371539e-119,6.83859733823492e-117,"Downregulated"
"ENSG00000179918.19","ENSG00000179918","SEPHS2","protein_coding",776.281642498156,-2.56473657108348,0.112354335345608,-22.8272150175088,2.4614686528512e-115,1.18905345723732e-112,"Downregulated"
"ENSG00000285517.3","ENSG00000285517","LINC00941","lncRNA",130.534946570878,-3.09164214654769,0.14447094961281,-21.3997496024874,1.34327470236561e-101,4.99147102222627e-99,"Downregulated"
"ENSG00000129292.23","ENSG00000129292","PHF20L1","protein_coding",411.879834012783,-1.80874492698857,0.0848305541617935,-21.3218567868699,7.11776853375052e-101,2.57876753977781e-98,"Downregulated"
"ENSG00000203499.13","ENSG00000203499","IQANK1","protein_coding",812.16047632599,-2.74944599839782,0.129917233969106,-21.1630583133538,2.09203379310947e-99,7.05064040226568e-97,"Downregulated"
"ENSG00000012048.28","ENSG00000012048","BRCA1","protein_coding",554.067782711734,-2.93431317997575,0.13963846943901,-21.0136446766009,4.92090541420442e-98,1.48570335963855e-95,"Downregulated"
