"gene_id","ensembl_gene_id","gene_symbol","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","status"
"ENSG00000186480.15","ENSG00000186480","INSIG1","protein_coding",8130.96701682592,6.2361123387199,0.186482531792106,33.4407318411573,3.51000156582164e-245,5.08669426918872e-241,"Upregulated"
"ENSG00000104549.14","ENSG00000104549","SQLE","protein_coding",2821.92417428338,3.91599261576814,0.133667370564375,29.2965485835018,1.14762573295023e-188,8.31569606095739e-185,"Upregulated"
"ENSG00000109107.16","ENSG00000109107","ALDOC","protein_coding",1075.08804940407,4.99410054950983,0.170923227888167,29.2183842489648,1.1327699613653e-187,5.47203409336867e-184,"Upregulated"
"ENSG00000196139.16","ENSG00000196139","AKR1C3","protein_coding",2014.71308407646,2.92868224915684,0.101415090935102,28.8781701239214,2.24486260893434e-183,8.1331372321691e-180,"Upregulated"
"ENSG00000052802.15","ENSG00000052802","MSMO1","protein_coding",3197.0553112632,4.83422969992455,0.16884874430248,28.6305339130293,2.80134398633547e-180,8.11941540999473e-177,"Upregulated"
"ENSG00000113161.19","ENSG00000113161","HMGCR","protein_coding",3091.53450848178,2.92363074157281,0.102551258659333,28.5089698536502,9.06856333380619e-179,2.19036033055866e-175,"Upregulated"
"ENSG00000101670.14","ENSG00000101670","LIPG","protein_coding",771.624590999648,2.40792715786203,0.0871658763716365,27.6246537991048,5.62792459319899e-168,1.019498540058e-164,"Upregulated"
"ENSG00000164211.15","ENSG00000164211","STARD4","protein_coding",662.582994098221,2.860507397597,0.10407853714094,27.4841237797511,2.71794506522167e-166,4.37649554279915e-163,"Upregulated"
"ENSG00000067064.14","ENSG00000067064","IDI1","protein_coding",1537.34759340842,3.8096929857781,0.140539416771504,27.1076476144205,8.00080339330041e-162,1.05406947977918e-158,"Upregulated"
"ENSG00000131069.22","ENSG00000131069","ACSS2","protein_coding",3288.14444613718,2.83176624824475,0.109137545362707,25.9467650553591,1.97776448686827e-148,2.38848024530791e-145,"Upregulated"
"ENSG00000172893.20","ENSG00000172893","DHCR7","protein_coding",2358.76402872387,3.19128954870997,0.123781840059714,25.7815649466065,1.42750495130417e-146,1.47767155387857e-143,"Upregulated"
"ENSG00000112972.16","ENSG00000112972","HMGCS1","protein_coding",2978.15713636111,4.00013214996446,0.157864893708513,25.3389595114823,1.18931513268899e-141,1.14903699352859e-138,"Upregulated"
"ENSG00000057704.15","ENSG00000057704","TMCC3","protein_coding",557.553060295879,1.77713490239954,0.07039080955924,25.2466893551484,1.23146209393639e-140,1.11539679158288e-137,"Upregulated"
"ENSG00000168394.15","ENSG00000168394","TAP1","protein_coding",739.331956158443,1.52530520131833,0.0621653708479569,24.5362519440108,6.0641257126948e-133,4.62533209623016e-130,"Upregulated"
"ENSG00000099194.8","ENSG00000099194","SCD","protein_coding",13519.9056196374,2.39394149927851,0.0979743314847425,24.4343744223589,7.37765111366477e-132,5.3458459969615e-129,"Upregulated"
"ENSG00000071967.14","ENSG00000071967","CYBRD1","protein_coding",748.608197406729,1.94211879591624,0.081865350820894,23.7233307674357,2.07159911158752e-124,1.36461883296029e-121,"Upregulated"
"ENSG00000011347.12","ENSG00000011347","SYT7","protein_coding",2118.4834935864,1.86898015310217,0.0792090259595916,23.5955452104111,4.28213673014328e-123,2.69811849970593e-120,"Upregulated"
"ENSG00000112511.20","ENSG00000112511","PHF1","protein_coding",915.322853053985,3.13703692948718,0.133420216120297,23.5124557635156,3.04186530830926e-122,1.83677966866741e-119,"Upregulated"
"ENSG00000012660.16","ENSG00000012660","ELOVL5","protein_coding",1479.02547468799,2.52746014693224,0.107858840125156,23.4330365874457,1.96883752255163e-121,1.14129573507273e-118,"Upregulated"
"ENSG00000128595.19","ENSG00000128595","CALU","protein_coding",3796.37252992318,1.61270406573737,0.0694148338810594,23.2328448484182,2.12099152587465e-119,1.09776461403484e-116,"Upregulated"
"ENSG00000141458.15","ENSG00000141458","NPC1","protein_coding",1235.27717960554,2.51098929883496,0.109609194653794,22.9085644390148,3.81717181704232e-116,1.90753289560611e-113,"Upregulated"
"ENSG00000109929.12","ENSG00000109929","SC5D","protein_coding",1858.08054461256,2.35422555761396,0.103234143719122,22.8047182143468,4.11659660078392e-115,1.92444251414711e-112,"Upregulated"
"ENSG00000156515.27","ENSG00000156515","HK1","protein_coding",1239.81829590529,1.99527989145839,0.0885191270244057,22.5406639054209,1.65813728526041e-112,7.50928923062307e-110,"Upregulated"
"ENSG00000198074.12","ENSG00000198074","AKR1B10","protein_coding",366.711721989848,4.46833724376116,0.199384055571507,22.410704963109,3.09499251262805e-111,1.3591706513032e-108,"Upregulated"
"ENSG00000169174.15","ENSG00000169174","PCSK9","protein_coding",1874.14756907732,2.92708297015847,0.132442592928793,22.10076762641,3.10739441651954e-108,1.32448117306474e-105,"Upregulated"
"ENSG00000250786.5","ENSG00000250786","SNHG18","lncRNA",349.154065637561,3.01312246087296,0.136851958451591,22.0173864880333,1.96260948505745e-107,8.12632475927214e-105,"Upregulated"
"ENSG00000079459.16","ENSG00000079459","FDFT1","protein_coding",5414.31422503536,2.77508505422428,0.126956824043561,21.8584946113026,6.45376344024418e-106,2.59799832711163e-103,"Upregulated"
"ENSG00000173530.8","ENSG00000173530","TNFRSF10D","protein_coding",659.486933842055,2.00131656563039,0.0925731672143806,21.6187543955988,1.19663435995967e-103,4.68692571473934e-101,"Upregulated"
"ENSG00000075618.20","ENSG00000075618","FSCN1","protein_coding",319.277713682907,4.29880333391176,0.199210222084138,21.5792306686759,2.81512798173248e-103,1.0736009134544e-100,"Upregulated"
"ENSG00000087842.13","ENSG00000087842","PIR","protein_coding",437.469896638979,2.84980610727482,0.134000744134049,21.2670916545358,2.29048699215878e-100,8.09603353423536e-98,"Upregulated"
"ENSG00000188895.14","ENSG00000188895","MSL1","protein_coding",2162.30657043708,2.0276283823617,0.0955982396198194,21.2098924669041,7.73898330675129e-100,2.6703177638438e-97,"Upregulated"
"ENSG00000104856.16","ENSG00000104856","RELB","protein_coding",399.071877905158,2.13568088434496,0.101010308838934,21.1431972527715,3.18736647640414e-99,1.04980261309202e-96,"Upregulated"
"ENSG00000119899.15","ENSG00000119899","SLC17A5","protein_coding",524.046835762248,2.69500204044186,0.127637626915119,21.1144793708369,5.85516197744277e-99,1.88562238615779e-96,"Upregulated"
"ENSG00000214357.11","ENSG00000214357","NEURL1B","protein_coding",1532.17738088597,1.36081670992215,0.064495558110455,21.099386528164,8.05746644902529e-99,2.53845225607119e-96,"Upregulated"
"ENSG00000178719.19","ENSG00000178719","GRINA","protein_coding",1744.73023213229,1.77192642439337,0.0840908449042666,21.0715735632175,1.45030950440967e-98,4.4718904974266e-96,"Upregulated"
"ENSG00000103485.21","ENSG00000103485","QPRT","protein_coding",1901.21514979889,2.895484569001,0.13810385237147,20.9659942085667,1.34090150025345e-97,3.96578460034142e-95,"Upregulated"
"ENSG00000167508.14","ENSG00000167508","MVD","protein_coding",459.35031242648,3.20199472320061,0.153249988317269,20.8939312711177,6.08024053341795e-97,1.76229691620586e-94,"Upregulated"
"ENSG00000162437.17","ENSG00000162437","RAVER2","protein_coding",563.442336553251,1.38027339197625,0.0662904775486013,20.8215937343987,2.75856522731772e-96,7.6879090912093e-94,"Upregulated"
"ENSG00000129757.17","ENSG00000129757","CDKN1C","protein_coding",199.854236723909,4.60390175226805,0.222368822835746,20.7038994655683,3.19448036127147e-95,8.73479422557474e-93,"Upregulated"
"ENSG00000164615.8","ENSG00000164615","CAMLG","protein_coding",802.282619729294,2.09702292417439,0.101557951666153,20.6485350459592,1.00625086877981e-94,2.70047918339945e-92,"Upregulated"
"ENSG00000160752.17","ENSG00000160752","FDPS","protein_coding",2190.33756904704,2.38185585717764,0.115978604905696,20.537028007143,1.00528998326332e-93,2.55590569078105e-91,"Upregulated"
"ENSG00000039523.22","ENSG00000039523","RIPOR1","protein_coding",732.043298696748,2.32048869709669,0.115011700568694,20.1761097838104,1.5875995391805e-90,3.7717200855416e-88,"Upregulated"
