"","sample","run","cell_line","condition","replicate","group"
"SRR7108388","HT55_CONT_1","SRR7108388","HT55","control",1,"HT55_control"
"SRR7108389","HT55_CONT_2","SRR7108389","HT55","control",2,"HT55_control"
"SRR7108390","HT55_CONT_3","SRR7108390","HT55","control",3,"HT55_control"
"SRR7108391","HT55_CONT_4","SRR7108391","HT55","control",4,"HT55_control"
"SRR7108392","HT55_ITRA_1","SRR7108392","HT55","itraconazole",1,"HT55_itraconazole"
"SRR7108393","HT55_ITRA_2","SRR7108393","HT55","itraconazole",2,"HT55_itraconazole"
"SRR7108394","HT55_ITRA_3","SRR7108394","HT55","itraconazole",3,"HT55_itraconazole"
"SRR7108395","HT55_ITRA_4","SRR7108395","HT55","itraconazole",4,"HT55_itraconazole"
"SRR7108396","SW948_CONT_1","SRR7108396","SW948","control",1,"SW948_control"
"SRR7108397","SW948_CONT_2","SRR7108397","SW948","control",2,"SW948_control"
"SRR7108398","SW948_CONT_3","SRR7108398","SW948","control",3,"SW948_control"
"SRR7108399","SW948_CONT_4","SRR7108399","SW948","control",4,"SW948_control"
"SRR7108400","SW948_ITRA_1","SRR7108400","SW948","itraconazole",1,"SW948_itraconazole"
"SRR7108401","SW948_ITRA_2","SRR7108401","SW948","itraconazole",2,"SW948_itraconazole"
"SRR7108402","SW948_ITRA_3","SRR7108402","SW948","itraconazole",3,"SW948_itraconazole"
"SRR7108403","SW948_ITRA_4","SRR7108403","SW948","itraconazole",4,"SW948_itraconazole"
