"gene_id","ensembl_gene_id","gene_symbol","gene_type","HT55_baseMean","HT55_log2FC","HT55_pvalue","HT55_padj","HT55_status","SW948_baseMean","SW948_log2FC","SW948_pvalue","SW948_padj","SW948_status","shared_response","joint_padj"
"ENSG00000162344.6","ENSG00000162344","FGF19","protein_coding",107.949502929142,-2.91878447567235,1.83257154560865e-59,3.79394669128008e-56,"Downregulated",107.949502929142,2.51684895975384,3.6233220649982e-31,4.33960193107057e-30,"Upregulated","Discordant_direction",4.33960193107057e-30
"ENSG00000137486.19","ENSG00000137486","ARRB1","protein_coding",434.324466005719,1.25132285690663,6.00639358246092e-20,2.27865591091685e-18,"Upregulated",434.324466005719,-1.40366819666786,9.89712609003605e-24,7.4392713328217e-23,"Downregulated","Discordant_direction",2.27865591091685e-18
"ENSG00000172159.18","ENSG00000172159","FRMD3","protein_coding",186.658632961873,1.09245271881565,5.51372861966112e-18,1.65434689764242e-16,"Upregulated",186.658632961873,-1.77569917606492,7.8217652445235e-56,3.82949398390657e-54,"Downregulated","Discordant_direction",1.65434689764242e-16
"ENSG00000155850.11","ENSG00000155850","SLC26A2","protein_coding",133.38794259951,1.41263270135847,1.66438488515674e-13,3.01880672787127e-12,"Upregulated",133.38794259951,-1.76628482681476,1.09716666821358e-12,3.92830681545203e-12,"Downregulated","Discordant_direction",3.92830681545203e-12
"ENSG00000171219.11","ENSG00000171219","CDC42BPG","protein_coding",229.498967606215,1.11516014330081,2.84892134343353e-12,4.21721839724604e-11,"Upregulated",229.498967606215,-1.18786547376808,5.07485236058998e-14,2.01106809979956e-13,"Downregulated","Discordant_direction",4.21721839724604e-11
"ENSG00000154153.16","ENSG00000154153","RETREG1","protein_coding",220.253603563283,1.26487268509964,4.23488059631377e-12,6.11883246278955e-11,"Upregulated",220.253603563283,-1.36699496819008,3.32761844218089e-13,1.240325269138e-12,"Downregulated","Discordant_direction",6.11883246278955e-11
"ENSG00000070669.19","ENSG00000070669","ASNS","protein_coding",88.3885062813921,-1.10340974092622,2.13847465794216e-09,2.03618756523638e-08,"Downregulated",88.3885062813921,1.25921355999873,1.50157907691592e-16,7.09516921508492e-16,"Upregulated","Discordant_direction",2.03618756523638e-08
"ENSG00000113369.10","ENSG00000113369","ARRDC3","protein_coding",200.514743058956,-1.86340211778428,4.57034740788289e-09,4.12156033821025e-08,"Downregulated",200.514743058956,2.5004410498145,2.45867478710262e-14,9.9472682899752e-14,"Upregulated","Discordant_direction",4.12156033821025e-08
"ENSG00000135083.19","ENSG00000135083","CCNJL","protein_coding",84.0358131104936,1.12716440110173,3.60422349614893e-08,2.74220153957962e-07,"Upregulated",84.0358131104936,-1.22719182833473,1.04137828626243e-09,3.00570685610739e-09,"Downregulated","Discordant_direction",2.74220153957962e-07
"ENSG00000074211.15","ENSG00000074211","PPP2R2C","protein_coding",25.8093150699918,-1.76800158094803,6.85039770342698e-08,4.93419301779641e-07,"Downregulated",25.8093150699918,3.04548637715625,1.94080733378799e-07,4.64434938594047e-07,"Upregulated","Discordant_direction",4.93419301779641e-07
"ENSG00000010704.21","ENSG00000010704","HFE","protein_coding",61.9458096031533,1.47710230994223,1.92015197077983e-07,1.28411824460274e-06,"Upregulated",61.9458096031533,-1.27626744704339,5.02922294619571e-07,1.15468154208283e-06,"Downregulated","Discordant_direction",1.28411824460274e-06
"ENSG00000148803.15","ENSG00000148803","FUOM","protein_coding",54.5720776427042,1.43862784195059,4.27522265893378e-07,2.67515227863853e-06,"Upregulated",54.5720776427042,-1.4269683581376,1.75652110697853e-13,6.67072952891324e-13,"Downregulated","Discordant_direction",2.67515227863853e-06
"ENSG00000106351.15","ENSG00000106351","AGFG2","protein_coding",133.496442037163,1.06812345464904,9.28279236486435e-07,5.4135302596223e-06,"Upregulated",133.496442037163,-1.93299982630362,2.90248224944791e-14,1.17003540358829e-13,"Downregulated","Discordant_direction",5.4135302596223e-06
"ENSG00000206077.15","ENSG00000206077","ZDHHC11B","protein_coding",39.9449169280278,-1.05855263251319,9.69316923892513e-07,5.63019673789591e-06,"Downregulated",39.9449169280278,1.45078278382391,3.90121029887381e-10,1.16234250927794e-09,"Upregulated","Discordant_direction",5.63019673789591e-06
"ENSG00000167105.10","ENSG00000167105","TMEM92","protein_coding",87.9655840120958,1.3739552708338,4.91913028710523e-06,2.47699917028245e-05,"Upregulated",87.9655840120958,-1.0688073508735,1.02109219650711e-14,4.2570966949888e-14,"Downregulated","Discordant_direction",2.47699917028245e-05
"ENSG00000116833.16","ENSG00000116833","NR5A2","protein_coding",36.5892861378172,1.90268142046048,1.38245453489729e-05,6.30810173795074e-05,"Upregulated",36.5892861378172,-1.84151748232876,8.33786316623288e-09,2.23804987970081e-08,"Downregulated","Discordant_direction",6.30810173795074e-05
"ENSG00000198948.14","ENSG00000198948","MFAP3L","protein_coding",181.619743170099,1.46987893136548,3.13834346077117e-19,1.12021855747526e-17,"Upregulated",181.619743170099,-1.16777766747109,4.20397501028489e-05,8.09083743015254e-05,"Downregulated","Discordant_direction",8.09083743015254e-05
"ENSG00000137285.12","ENSG00000137285","TUBB2B","protein_coding",157.558469234934,-1.05720420291959,1.83191852714096e-05,8.12864767156362e-05,"Downregulated",157.558469234934,2.03739721863986,9.17671124242458e-25,7.24340410268066e-24,"Upregulated","Discordant_direction",8.12864767156362e-05
"ENSG00000090382.8","ENSG00000090382","LYZ","protein_coding",965.4477366246,1.50019418191493,1.8475604681112e-05,8.19053114220482e-05,"Upregulated",965.4477366246,-1.51869303181229,1.18654654880604e-54,5.40736873751481e-53,"Downregulated","Discordant_direction",8.19053114220482e-05
"ENSG00000179546.7","ENSG00000179546","HTR1D","protein_coding",57.9119570632481,2.50074646399603,7.20774051289216e-06,3.48763190360044e-05,"Upregulated",57.9119570632481,-1.07780658488442,8.22661122255493e-05,0.000153693502432985,"Downregulated","Discordant_direction",0.000153693502432985
"ENSG00000066735.18","ENSG00000066735","KIF26A","protein_coding",241.739569458498,-1.05943552386782,1.37135629190682e-09,1.34919860029284e-08,"Downregulated",241.739569458498,1.75797714212939,8.75994319491891e-05,0.000163215603986584,"Upregulated","Discordant_direction",0.000163215603986584
"ENSG00000139567.16","ENSG00000139567","ACVRL1","protein_coding",53.9354393474779,1.20281650944862,5.878830437394e-05,0.000232573649681252,"Upregulated",53.9354393474779,-1.47845143087868,1.13207361154897e-07,2.76988194809517e-07,"Downregulated","Discordant_direction",0.000232573649681252
"ENSG00000151136.15","ENSG00000151136","ABTB3","protein_coding",14.0744479545869,-1.35273259544445,7.78194590623665e-05,0.00029874426509452,"Downregulated",14.0744479545869,4.731152894599,2.39749828757838e-05,4.7316553429914e-05,"Upregulated","Discordant_direction",0.00029874426509452
"ENSG00000100060.20","ENSG00000100060","MFNG","protein_coding",29.2139409529804,-1.00732450757445,8.31128960469055e-05,0.000317227822141635,"Downregulated",29.2139409529804,2.04910169813264,9.96601198665418e-13,3.58202990353652e-12,"Upregulated","Discordant_direction",0.000317227822141635
