"gene_id","ensembl_gene_id","gene_symbol","gene_type","HT55_baseMean","HT55_log2FC","HT55_pvalue","HT55_padj","HT55_status","SW948_baseMean","SW948_log2FC","SW948_pvalue","SW948_padj","SW948_status","shared_response","joint_padj"
"ENSG00000102317.20","ENSG00000102317","RBM3","protein_coding",554.014980794727,-1.43554364216086,5.49730691493574e-39,1.22564572017306e-36,"Downregulated",554.014980794727,-2.16521351851445,6.86514260283106e-94,1.77660083214692e-91,"Downregulated","Shared_downregulated",1.22564572017306e-36
"ENSG00000167703.17","ENSG00000167703","SLC43A2","protein_coding",283.109405488365,-1.64156645139156,1.52652525205362e-47,6.32068684364602e-45,"Downregulated",283.109405488365,-1.69711076577322,1.32062071853721e-34,1.93708860860742e-33,"Downregulated","Shared_downregulated",1.93708860860742e-33
"ENSG00000241186.12","ENSG00000241186","CRIPTO","protein_coding",484.652539589269,-1.63159605481092,1.0578694866436e-30,1.20218493679928e-28,"Downregulated",484.652539589269,-2.02020123009468,5.16640458489016e-44,1.30894292385014e-42,"Downregulated","Shared_downregulated",1.20218493679928e-28
"ENSG00000106028.13","ENSG00000106028","SSBP1","protein_coding",549.464221526951,-1.05443868775934,2.69590479420056e-29,2.71312863038573e-27,"Downregulated",549.464221526951,-2.08372175403375,2.62728105082674e-94,6.92264672519656e-92,"Downregulated","Shared_downregulated",2.71312863038573e-27
"ENSG00000153132.15","ENSG00000153132","CLGN","protein_coding",71.1114063798095,-2.78553086498797,3.1372322596468e-29,3.13550137288286e-27,"Downregulated",71.1114063798095,-2.86121102666023,1.20565152329713e-33,1.67039214872103e-32,"Downregulated","Shared_downregulated",3.13550137288286e-27
"ENSG00000163808.19","ENSG00000163808","KIF15","protein_coding",208.24828348449,-1.09827009150124,1.38954263491593e-28,1.2664938280001e-26,"Downregulated",208.24828348449,-1.31507792384159,7.42400543756703e-31,8.69052397425052e-30,"Downregulated","Shared_downregulated",1.2664938280001e-26
"ENSG00000198830.15","ENSG00000198830","HMGN2","protein_coding",634.490818518037,-1.4570878401068,1.10741059290963e-44,3.4888248505318e-42,"Downregulated",634.490818518037,-1.1898236616357,9.52807665201233e-26,8.07018625604691e-25,"Downregulated","Shared_downregulated",8.07018625604691e-25
"ENSG00000106541.14","ENSG00000106541","AGR2","protein_coding",1291.7001126553,-1.69877764481752,1.01615809277631e-25,7.21870739240897e-24,"Downregulated",1291.7001126553,-3.86646045076193,3.42823315841508e-164,4.96819549317513e-161,"Downregulated","Shared_downregulated",7.21870739240897e-24
"ENSG00000078081.10","ENSG00000078081","LAMP3","protein_coding",649.769884236458,-1.96111286460961,2.79865810857673e-25,1.92218736063952e-23,"Downregulated",649.769884236458,-2.91923404548941,6.38850627031534e-54,2.76191284154005e-52,"Downregulated","Shared_downregulated",1.92218736063952e-23
"ENSG00000055732.15","ENSG00000055732","MCOLN3","protein_coding",95.6276626211968,-2.15207192698564,1.85439966851567e-24,1.18387488969731e-22,"Downregulated",95.6276626211968,-2.12016998068011,6.65677898933083e-27,6.0293775695864e-26,"Downregulated","Shared_downregulated",1.18387488969731e-22
"ENSG00000139292.15","ENSG00000139292","LGR5","protein_coding",132.739204692498,-1.7615393025107,1.98527341890836e-24,1.25089488638348e-22,"Downregulated",132.739204692498,-2.65566651914655,3.40239501049222e-38,6.10241441733332e-37,"Downregulated","Shared_downregulated",1.25089488638348e-22
"ENSG00000198677.15","ENSG00000198677","SKIC3","protein_coding",954.36221392307,-1.0005154749537,3.37186601715304e-24,2.05315471935218e-22,"Downregulated",954.36221392307,-1.33940952196876,2.02915536414592e-42,4.60917234125433e-41,"Downregulated","Shared_downregulated",2.05315471935218e-22
"ENSG00000115425.16","ENSG00000115425","PECR","protein_coding",295.34945864863,-1.63322422342614,1.50893039840358e-27,1.25674823756693e-25,"Downregulated",295.34945864863,-1.47756421273364,8.45457037911061e-23,5.95932071663769e-22,"Downregulated","Shared_downregulated",5.95932071663769e-22
"ENSG00000101361.19","ENSG00000101361","NOP56","protein_coding",853.815566927126,-1.10513996471249,1.32386105305521e-23,7.70497766300245e-22,"Downregulated",853.815566927126,-1.65782487154438,1.80253680129407e-52,7.09846829466131e-51,"Downregulated","Shared_downregulated",7.70497766300245e-22
"ENSG00000075643.8","ENSG00000075643","MOCOS","protein_coding",493.178046369918,-1.0950991168714,2.30207553965878e-23,1.29811979458113e-21,"Downregulated",493.178046369918,-1.87822725077846,2.11661654360997e-61,1.44009422300449e-59,"Downregulated","Shared_downregulated",1.29811979458113e-21
"ENSG00000101003.13","ENSG00000101003","GINS1","protein_coding",301.592565496538,-1.10120870416758,1.54530445295439e-22,7.96959150612633e-21,"Downregulated",301.592565496538,-1.14430241258155,8.48296074769922e-25,6.72879404245523e-24,"Downregulated","Shared_downregulated",7.96959150612633e-21
"ENSG00000187866.10","ENSG00000187866","PABIR1","protein_coding",260.809948834838,-1.02358753731376,1.1705878161728e-21,5.43723033076162e-20,"Downregulated",260.809948834838,-1.99044625537463,6.62536665332523e-52,2.54007443227485e-50,"Downregulated","Shared_downregulated",5.43723033076162e-20
"ENSG00000085982.18","ENSG00000085982","USP40","protein_coding",433.851164661783,-1.46733759121862,7.0095757915761e-21,2.96159686214346e-19,"Downregulated",433.851164661783,-3.01455346906507,3.5736414832076e-79,4.93230594044234e-77,"Downregulated","Shared_downregulated",2.96159686214346e-19
"ENSG00000160180.19","ENSG00000160180","TFF3","protein_coding",210.779349532233,-1.40668007642515,5.01746101369722e-20,1.9287279843634e-18,"Downregulated",210.779349532233,-2.870634657393,8.01172102566751e-39,1.48283347514653e-37,"Downregulated","Shared_downregulated",1.9287279843634e-18
"ENSG00000187189.11","ENSG00000187189","TSPYL4","protein_coding",175.442781611607,-1.17101036536632,5.33538490404864e-20,2.04011604299401e-18,"Downregulated",175.442781611607,-2.1334211527269,2.37331097266679e-38,4.31002789672771e-37,"Downregulated","Shared_downregulated",2.04011604299401e-18
"ENSG00000140105.20","ENSG00000140105","WARS1","protein_coding",1548.27028680232,-1.32244797218661,6.00390377120672e-20,2.27865591091685e-18,"Downregulated",1548.27028680232,-1.98775243801502,8.70385088533158e-44,2.1635713041205e-42,"Downregulated","Shared_downregulated",2.27865591091685e-18
"ENSG00000143748.20","ENSG00000143748","NVL","protein_coding",200.719782395561,-1.09339920570163,3.87757117997106e-20,1.50653516193406e-18,"Downregulated",200.719782395561,-1.13474854409094,1.46017140559992e-18,7.88993438104178e-18,"Downregulated","Shared_downregulated",7.88993438104178e-18
"ENSG00000276234.7","ENSG00000276234","TADA2A","protein_coding",122.897355441431,-1.27651571712658,1.10146165834572e-18,3.62781417107866e-17,"Downregulated",122.897355441431,-2.42793361130609,3.35616820160872e-44,8.6236860953393e-43,"Downregulated","Shared_downregulated",3.62781417107866e-17
"ENSG00000012048.28","ENSG00000012048","BRCA1","protein_coding",554.067782711734,-1.14839643705041,1.37258228324546e-18,4.46999156152655e-17,"Downregulated",554.067782711734,-2.93431317997575,4.92090541420442e-98,1.48570335963855e-95,"Downregulated","Shared_downregulated",4.46999156152655e-17
"ENSG00000170006.15","ENSG00000170006","TMEM154","protein_coding",134.878888780426,-1.90647724027014,2.9082043804082e-18,9.00549100018709e-17,"Downregulated",134.878888780426,-3.89188449413677,4.60719509592059e-22,3.10546378279447e-21,"Downregulated","Shared_downregulated",9.00549100018709e-17
"ENSG00000139410.17","ENSG00000139410","SDSL","protein_coding",55.1802919625884,-1.6432881173224,3.94643805480823e-18,1.20150798929161e-16,"Downregulated",55.1802919625884,-4.83723912364848,1.58705471984085e-17,8.03058554466953e-17,"Downregulated","Shared_downregulated",1.20150798929161e-16
"ENSG00000100889.14","ENSG00000100889","PCK2","protein_coding",1070.99980933036,-1.03470669805122,1.05401100789098e-17,3.1109424697263e-16,"Downregulated",1070.99980933036,-1.91240111099005,1.70766191992522e-52,6.74317072031505e-51,"Downregulated","Shared_downregulated",3.1109424697263e-16
"ENSG00000198131.17","ENSG00000198131","ZNF544","protein_coding",151.355455143301,-1.10017308536778,1.0765537559654e-17,3.17101972183954e-16,"Downregulated",151.355455143301,-2.77641811706805,9.04154257577954e-54,3.86519277310316e-52,"Downregulated","Shared_downregulated",3.17101972183954e-16
"ENSG00000106804.12","ENSG00000106804","C5","protein_coding",149.955928594673,-1.51949027745352,1.12290168649928e-17,3.29414802444283e-16,"Downregulated",149.955928594673,-3.24947948100457,1.11323196384936e-40,2.29814211112605e-39,"Downregulated","Shared_downregulated",3.29414802444283e-16
"ENSG00000166004.16","ENSG00000166004","CEP295","protein_coding",189.473936035696,-1.09053610214305,1.36346290996523e-17,3.95978045916156e-16,"Downregulated",189.473936035696,-1.30474707906903,9.79899740332204e-26,8.28996324395464e-25,"Downregulated","Shared_downregulated",3.95978045916156e-16
"ENSG00000214039.11","ENSG00000214039","LINC02418","lncRNA",201.213160343503,-2.10322768177799,2.90651979583905e-48,1.27640257216059e-45,"Downregulated",201.213160343503,-4.58260774275175,7.33291467182513e-16,3.30848690610491e-15,"Downregulated","Shared_downregulated",3.30848690610491e-15
"ENSG00000135842.19","ENSG00000135842","NIBAN1","protein_coding",245.611900733513,-2.49612713354824,5.73738252615793e-16,1.43603018254025e-14,"Downregulated",245.611900733513,-4.86863153503433,2.49613414484798e-31,3.02457993537934e-30,"Downregulated","Shared_downregulated",1.43603018254025e-14
"ENSG00000186141.12","ENSG00000186141","POLR3C","protein_coding",326.824953060943,-1.15533914824972,1.01963717202865e-15,2.48345914235954e-14,"Downregulated",326.824953060943,-1.84070198519049,4.89184817483879e-34,6.9298791544246e-33,"Downregulated","Shared_downregulated",2.48345914235954e-14
"ENSG00000142765.20","ENSG00000142765","SYTL1","protein_coding",136.398063293263,-1.09893915942143,9.85187522620902e-17,2.69383727883436e-15,"Downregulated",136.398063293263,-1.16662781286779,8.7848055311013e-15,3.67627495687901e-14,"Downregulated","Shared_downregulated",3.67627495687901e-14
"ENSG00000254166.5","ENSG00000254166","CASC19","lncRNA",364.054009768,-1.08665756297954,1.78846266454816e-15,4.22123793723648e-14,"Downregulated",364.054009768,-3.0629657999057,6.384506768297e-87,1.34093147950957e-84,"Downregulated","Shared_downregulated",4.22123793723648e-14
"ENSG00000132434.12","ENSG00000132434","LANCL2","protein_coding",112.151821761816,-1.18224109177751,2.88411807913954e-15,6.61339227893833e-14,"Downregulated",112.151821761816,-2.69287106016338,1.73162039196995e-48,5.72937048411608e-47,"Downregulated","Shared_downregulated",6.61339227893833e-14
"ENSG00000011143.21","ENSG00000011143","MKS1","protein_coding",85.221339689252,-1.32374683132898,3.23328035867419e-15,7.35583971081732e-14,"Downregulated",85.221339689252,-2.28233486452921,4.3614245053596e-30,4.86572470605629e-29,"Downregulated","Shared_downregulated",7.35583971081732e-14
"ENSG00000256537.6","ENSG00000256537","SMIM10L1","protein_coding",219.547328511768,-1.00456315517522,3.36652684953028e-15,7.62307923490514e-14,"Downregulated",219.547328511768,-2.13614383448601,4.99671697785058e-38,8.86320960134768e-37,"Downregulated","Shared_downregulated",7.62307923490514e-14
"ENSG00000110274.18","ENSG00000110274","CEP164","protein_coding",199.504413831197,-1.19356474310152,5.74563256277109e-15,1.26929431554388e-13,"Downregulated",199.504413831197,-1.143794569086,1.08566744410501e-19,6.30600905810412e-19,"Downregulated","Shared_downregulated",1.26929431554388e-13
"ENSG00000096872.19","ENSG00000096872","IFT74","protein_coding",87.3933285903674,-1.10463491082522,8.87185307514065e-15,1.92759962166324e-13,"Downregulated",87.3933285903674,-1.65730018952649,2.88785895002312e-22,1.96945185429341e-21,"Downregulated","Shared_downregulated",1.92759962166324e-13
"ENSG00000006757.14","ENSG00000006757","PNPLA4","protein_coding",139.520559097328,-1.11040934976016,1.41156846302414e-14,2.98198982013787e-13,"Downregulated",139.520559097328,-1.15948776038796,4.66163261065185e-14,1.85289028506765e-13,"Downregulated","Shared_downregulated",2.98198982013787e-13
"ENSG00000135749.22","ENSG00000135749","PCNX2","protein_coding",82.3686709822808,-1.2161373426752,1.5634926577531e-14,3.28378776755913e-13,"Downregulated",82.3686709822808,-2.87590330893061,9.54292399639289e-30,1.04532165197072e-28,"Downregulated","Shared_downregulated",3.28378776755913e-13
"ENSG00000146243.15","ENSG00000146243","IRAK1BP1","protein_coding",120.304243176374,-1.46282382399235,1.70505678595417e-14,3.5604730464046e-13,"Downregulated",120.304243176374,-2.03976808763388,1.6696655033901e-25,1.39382445133234e-24,"Downregulated","Shared_downregulated",3.5604730464046e-13
"ENSG00000168306.15","ENSG00000168306","ACOX2","protein_coding",111.168049816243,-1.89699604128783,4.71424614691701e-17,1.31130240232478e-15,"Downregulated",111.168049816243,-3.73038576791299,3.23133034411354e-13,1.20536523415427e-12,"Downregulated","Shared_downregulated",1.20536523415427e-12
"ENSG00000177788.7","ENSG00000177788","RAB4A-AS1","lncRNA",118.646824953033,-1.14158083335583,6.25852496807e-14,1.20609765741051e-12,"Downregulated",118.646824953033,-2.85861888355156,5.3265027913186e-38,9.41361932338892e-37,"Downregulated","Shared_downregulated",1.20609765741051e-12
"ENSG00000174371.19","ENSG00000174371","EXO1","protein_coding",141.604501608992,-1.10332279709577,1.04869777605082e-13,1.95343549749723e-12,"Downregulated",141.604501608992,-2.62006963125494,1.9888717106802e-37,3.39684316812998e-36,"Downregulated","Shared_downregulated",1.95343549749723e-12
"ENSG00000176623.14","ENSG00000176623","RMDN1","protein_coding",227.041866720571,-1.02837151695944,1.53800343798292e-13,2.8142355837435e-12,"Downregulated",227.041866720571,-1.78635014410435,5.70538311934282e-35,8.60378898704642e-34,"Downregulated","Shared_downregulated",2.8142355837435e-12
"ENSG00000196584.5","ENSG00000196584","XRCC2","protein_coding",102.989718208099,-1.05863669130328,1.55092667734682e-13,2.83430383456622e-12,"Downregulated",102.989718208099,-3.9233910960159,6.78681631315527e-44,1.71349376324471e-42,"Downregulated","Shared_downregulated",2.83430383456622e-12
"ENSG00000150556.19","ENSG00000150556","LYPD6B","protein_coding",109.130856495514,-1.18613275385186,1.55878475241736e-13,2.83884907745334e-12,"Downregulated",109.130856495514,-2.63947139267632,2.40097961942837e-36,3.89205779024116e-35,"Downregulated","Shared_downregulated",2.83884907745334e-12
