# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ECB_00020	ECB_00020	ECB_00020	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_00021	ECB_00021	ECB_00021	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_00022	ECB_00022	ECB_00022	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ECB_00025	ECB_00025	ECB_00025	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_00026	ECB_00026	ECB_00026	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_00212	ECB_00212	ECB_00212	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ECB_00265	ECB_00265	ECB_00265	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_00320	ECB_00320	ECB_00320	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_00376	ECB_00376	ECB_00376	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_00377	ECB_00377	ECB_00377	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_00378	ECB_00378	ECB_00378	protein_coding	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0
ECB_00624	ECB_00624	ECB_00624	protein_coding	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	2
ECB_00650	ECB_00650	ECB_00650	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	1
ECB_00662	ECB_00662	ECB_00662	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ECB_00663	ECB_00663	ECB_00663	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
