# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_upstream_gene_variant
ECB_01989	ECB_01989	ECB_01989	protein_coding	0	0	1	0	0	0	1
ECB_01990	ECB_01990	ECB_01990	protein_coding	0	0	1	1	0	0	0
ECB_01991	ECB_01991	ECB_01991	protein_coding	0	0	1	0	0	0	1
ECB_01992	ECB_01992	ECB_01992	protein_coding	1	0	0	0	1	0	0
ECB_01993	ECB_01993	ECB_01993	protein_coding	0	0	1	0	0	0	1
ECB_01994	ECB_01994	ECB_01994	protein_coding	0	0	1	1	0	0	0
ECB_01995	ECB_01995	ECB_01995	protein_coding	0	0	1	1	0	0	0
ECB_01996	ECB_01996	ECB_01996	protein_coding	0	0	1	1	0	0	0
acnA	ECB_01253	ECB_01253	protein_coding	0	0	1	0	0	0	1
aroB	ECB_03241	ECB_03241	protein_coding	0	0	1	1	0	0	0
aroK	ECB_03242	ECB_03242	protein_coding	0	0	1	1	0	0	0
cysB	ECB_01251	ECB_01251	protein_coding	0	0	1	0	0	0	1
cytR	ECB_03819	ECB_03819	protein_coding	0	0	1	1	0	0	0
dacA	ECB_00601	ECB_00601	protein_coding	0	0	1	0	0	0	1
dam	ECB_03239	ECB_03239	protein_coding	0	1	0	0	0	1	0
damX	ECB_03240	ECB_03240	protein_coding	0	0	1	1	0	0	0
ftsN	ECB_03818	ECB_03818	protein_coding	0	0	1	1	0	0	0
glpF	ECB_03812	ECB_03812	protein_coding	0	0	1	0	0	0	1
glpK	ECB_03811	ECB_03811	protein_coding	0	0	1	0	0	0	1
gph	ECB_03237	ECB_03237	protein_coding	0	0	1	0	0	0	1
hofQ	ECB_03243	ECB_03243	protein_coding	0	0	1	1	0	0	0
holA	ECB_00609	ECB_00609	protein_coding	0	0	1	1	0	0	0
hslU	ECB_03816	ECB_03816	protein_coding	0	1	0	0	0	1	0
hslV	ECB_03817	ECB_03817	protein_coding	0	0	1	1	0	0	0
insJ-5	ECB_03632	ECB_03632	protein_coding	0	0	1	0	0	0	1
insK-5	ECB_03633	ECB_03633	protein_coding	0	0	1	0	0	0	1
kup	ECB_03631	ECB_03631	protein_coding	0	0	1	1	0	0	0
lipB	ECB_00599	ECB_00599	protein_coding	0	0	1	0	0	0	1
lpp	ECB_01646	ECB_01646	protein_coding	0	0	1	0	0	0	1
malP	ECB_03269	ECB_03269	protein_coding	0	0	1	0	0	0	1
malQ	ECB_03268	ECB_03268	protein_coding	0	0	1	0	0	0	1
malT	ECB_03270	ECB_03270	protein_coding	0	1	0	0	0	1	0
menA	ECB_03815	ECB_03815	protein_coding	0	0	1	0	0	0	1
menG	ECB_03814	ECB_03814	protein_coding	0	0	1	0	0	0	1
mrdA	ECB_00604	ECB_00604	protein_coding	0	0	1	1	0	0	0
mrdB	ECB_00603	ECB_00603	protein_coding	0	1	0	0	0	1	0
nadD	ECB_00608	ECB_00608	protein_coding	0	0	1	1	0	0	0
ogrK	ECB_01987	ECB_01987	protein_coding	0	0	1	0	0	0	1
phpB	ECB_00607	ECB_00607	protein_coding	0	0	1	1	0	0	0
ppa	ECB_04095	ECB_04095	protein_coding	0	0	1	1	0	0	0
priA	ECB_03820	ECB_03820	protein_coding	0	0	1	1	0	0	0
pykF	ECB_01645	ECB_01645	protein_coding	0	1	0	0	0	1	0
rbsA	ECB_03635	ECB_03635	protein_coding	0	0	1	0	0	0	1
rbsB	ECB_03637	ECB_03637	protein_coding	0	0	1	0	0	0	1
rbsC	ECB_03636	ECB_03636	protein_coding	0	0	1	0	0	0	1
rbsD	ECB_03634	ECB_03634	protein_coding	0	0	1	0	0	0	1
rlpA	ECB_00602	ECB_00602	protein_coding	0	0	1	0	0	0	1
rpe	ECB_03238	ECB_03238	protein_coding	0	0	1	0	0	0	1
rtcA	ECB_03271	ECB_03271	protein_coding	0	0	1	1	0	0	0
rtcB	ECB_03272	ECB_03272	protein_coding	0	0	1	1	0	0	0
sohB	ECB_01248	ECB_01248	protein_coding	0	0	1	1	0	0	0
sufD	ECB_01650	ECB_01650	protein_coding	0	0	1	1	0	0	0
sufE	ECB_01648	ECB_01648	protein_coding	0	0	1	1	0	0	0
