# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_upstream_gene_variant
ECB_01989	ECB_01989	ECB_01989	protein_coding	0	0	1	0	0	0	0	1
ECB_01990	ECB_01990	ECB_01990	protein_coding	0	0	1	0	1	0	0	0
ECB_01991	ECB_01991	ECB_01991	protein_coding	0	0	1	0	0	0	0	1
ECB_01992	ECB_01992	ECB_01992	protein_coding	0	1	0	1	0	0	0	0
ECB_01993	ECB_01993	ECB_01993	protein_coding	0	0	1	0	0	0	0	1
ECB_01994	ECB_01994	ECB_01994	protein_coding	0	0	1	0	1	0	0	0
ECB_01995	ECB_01995	ECB_01995	protein_coding	0	0	1	0	1	0	0	0
ECB_01996	ECB_01996	ECB_01996	protein_coding	0	0	1	0	1	0	0	0
ECB_02199	ECB_02199	ECB_02199	protein_coding	0	0	1	0	1	0	0	0
ECB_02200	ECB_02200	ECB_02200	protein_coding	0	0	1	0	1	0	0	0
ECB_02797	ECB_02797	ECB_02797	protein_coding	0	0	1	0	1	0	0	0
ECB_02798	ECB_02798	ECB_02798	protein_coding	0	0	1	0	1	0	0	0
ECB_03279	ECB_03279	ECB_03279	protein_coding	0	0	1	0	1	0	0	0
accC	ECB_03114	ECB_03114	protein_coding	0	0	1	0	1	0	0	0
aceA	ECB_03887	ECB_03887	protein_coding	0	0	1	0	1	0	0	0
aceK	ECB_03888	ECB_03888	protein_coding	0	0	1	0	1	0	0	0
acnA	ECB_01253	ECB_01253	protein_coding	0	0	1	0	0	0	0	1
acpS	ECB_02457	ECB_02457	protein_coding	0	0	1	0	1	0	0	0
acrE	ECB_03123	ECB_03123	protein_coding	0	0	1	0	0	0	0	1
acrF	ECB_03124	ECB_03124	protein_coding	0	0	1	0	0	0	0	1
adk	ECB_00425	ECB_00425	protein_coding	0	0	1	0	1	0	0	0
aes	ECB_00427	ECB_00427	protein_coding	0	0	1	0	0	0	0	1
araJ	ECB_00344	ECB_00344	protein_coding	0	0	1	0	1	0	0	0
aroF	ECB_02490	ECB_02490	protein_coding	0	0	1	0	0	0	0	1
aroL	ECB_00335	ECB_00335	protein_coding	0	0	1	0	1	0	0	0
aroM	ECB_00337	ECB_00337	protein_coding	0	0	1	0	1	0	0	0
chiA	ECB_03189	ECB_03189	protein_coding	0	0	1	0	0	0	0	1
clpX	ECB_00389	ECB_00389	protein_coding	0	0	1	0	1	0	0	0
crl	ECB_00235	ECB_00235	protein_coding	0	0	1	0	1	0	0	0
cysB	ECB_01251	ECB_01251	protein_coding	0	0	1	0	0	0	0	1
cytR	ECB_03819	ECB_03819	protein_coding	0	0	1	0	1	0	0	0
dacA	ECB_00601	ECB_00601	protein_coding	0	0	1	0	0	0	0	1
dnaJ	ECB_00015	ECB_00015	protein_coding	0	0	1	0	0	0	0	1
dnaK	ECB_00014	ECB_00014	protein_coding	0	0	1	0	0	0	0	1
dsdC	ECB_02274	ECB_02274	protein_coding	0	0	1	0	1	0	0	0
dsdX	ECB_02275	ECB_02275	protein_coding	0	0	1	0	0	0	0	1
eaeH	ECB_00256	ECB_00256	protein_coding	0	0	1	0	0	0	0	1
elaC	ECB_02195	ECB_02195	protein_coding	0	0	1	0	1	0	0	0
elaD	ECB_02196	ECB_02196	protein_coding	0	0	1	0	1	0	0	0
envR	ECB_03122	ECB_03122	protein_coding	0	0	1	0	1	0	0	0
fadL	ECB_02268	ECB_02268	protein_coding	0	0	1	0	1	0	0	0
ffh	ECB_02499	ECB_02499	protein_coding	0	0	1	0	1	0	0	0
fis	ECB_03119	ECB_03119	protein_coding	0	1	0	0	0	0	1	0
fkpA	ECB_03198	ECB_03198	protein_coding	0	0	1	0	1	0	0	0
flu	ECB_02800	ECB_02800	protein_coding	0	0	1	0	0	0	0	1
fsr	ECB_00430	ECB_00430	protein_coding	0	0	1	0	1	0	0	0
ftsN	ECB_03818	ECB_03818	protein_coding	0	0	1	0	1	0	0	0
fusA	ECB_03191	ECB_03191	protein_coding	0	0	1	0	0	0	0	1
glk	ECB_02298	ECB_02298	protein_coding	0	0	1	0	0	0	0	1
glpD	ECB_03277	ECB_03277	protein_coding	0	0	1	0	0	0	0	1
glpE	ECB_03276	ECB_03276	protein_coding	0	0	1	0	1	0	0	0
glpF	ECB_03812	ECB_03812	protein_coding	0	0	1	0	0	0	0	1
glpG	ECB_03275	ECB_03275	protein_coding	0	0	1	0	1	0	0	0
glpK	ECB_03811	ECB_03811	protein_coding	0	0	1	0	0	0	0	1
glpR	ECB_03274	ECB_03274	protein_coding	0	1	0	0	0	0	1	0
gpt	ECB_00233	ECB_00233	protein_coding	0	0	1	0	1	0	0	0
gsk	ECB_00428	ECB_00428	protein_coding	0	0	1	0	1	0	0	0
hdfR	ECB_03642	ECB_03642	protein_coding	0	0	1	0	0	0	0	1
hemH	ECB_00426	ECB_00426	protein_coding	0	0	1	0	1	0	0	0
holA	ECB_00609	ECB_00609	protein_coding	0	0	1	0	1	0	0	0
hslU	ECB_03816	ECB_03816	protein_coding	0	1	0	0	0	0	1	0
hslV	ECB_03817	ECB_03817	protein_coding	0	0	1	0	1	0	0	0
htgA	ECB_00012	ECB_00012	protein_coding	0	0	1	0	0	0	0	1
htpG	ECB_00424	ECB_00424	protein_coding	0	0	1	0	1	0	0	0
hupB	ECB_00392	ECB_00392	protein_coding	0	0	1	0	0	0	0	1
iclR	ECB_03890	ECB_03890	protein_coding	0	1	0	0	0	0	1	0
ilvE	ECB_03648	ECB_03648	protein_coding	0	0	1	0	0	0	0	1
ilvG	ECB_03646	ECB_03646	protein_coding	0	0	1	0	0	0	0	1
ilvL	ECB_03645	ECB_03645	protein_coding	0	0	1	0	0	0	0	1
ilvM	ECB_03647	ECB_03647	protein_coding	0	0	1	0	0	0	0	1
insA-18	ECB_02271	ECB_02271	protein_coding	0	0	1	0	1	0	0	0
insA-19	ECB_02451	ECB_02451	protein_coding	0	0	1	0	1	0	0	0
insA-3	ECB_00236	ECB_00236	protein_coding	0	0	1	0	1	0	0	0
